Date,ES
2010-09-29,18.12413215637207
2010-09-30,17.942102432250977
2010-10-01,18.099864959716797
2010-10-04,18.087726593017578
2010-10-05,18.330429077148438
2010-10-06,18.324363708496094
2010-10-07,18.34257698059082
2010-10-08,18.391111373901367
2010-10-11,18.488189697265625
2010-10-12,18.39717674255371
2010-10-13,18.47605323791504
2010-10-14,18.46999168395996
2010-10-15,18.627750396728516
2010-10-18,18.457860946655273
2010-10-19,18.68235969543457
2010-10-20,18.749103546142578
2010-10-21,18.627750396728516
2010-10-22,18.718765258789062
2010-10-25,18.91899871826172
2010-10-26,18.773380279541016
2010-10-27,18.83405303955078
2010-10-28,18.931137084960938
2010-10-29,18.97968292236328
2010-11-01,19.070690155029297
2010-11-02,19.343738555908203
2010-11-03,19.16777801513672
2010-11-04,19.319467544555664
