Date,REXR
2014-04-15,10.480972290039062
2014-04-16,10.518321990966797
2014-04-17,10.578085899353027
2014-04-21,10.667730331420898
2014-04-22,10.779790878295898
2014-04-23,10.772315979003906
2014-04-24,10.749907493591309
2014-04-25,10.712553977966309
2014-04-28,10.660262107849121
2014-04-29,10.548208236694336
2014-04-30,10.62291145324707
2014-05-01,10.705086708068848
2014-05-02,10.734967231750488
2014-05-05,10.667730331420898
2014-05-06,10.63785171508789
2014-05-07,10.697608947753906
2014-05-08,10.667730331420898
2014-05-09,10.712553977966309
2014-05-12,10.802199363708496
2014-05-13,10.645322799682617
2014-05-14,10.458556175231934
2014-05-15,10.443620681762695
2014-05-16,10.548208236694336
2014-05-19,10.615439414978027
2014-05-20,10.480972290039062
2014-05-21,10.466028213500977
