Date,AURA
2022-08-04,14.270000457763672
2022-08-05,15.40999984741211
2022-08-08,16.40999984741211
2022-08-09,18.360000610351562
2022-08-10,19.079999923706055
2022-08-11,17.440000534057617
2022-08-12,18.989999771118164
2022-08-15,18.850000381469727
2022-08-16,18.579999923706055
2022-08-17,20.34000015258789
2022-08-18,17.59000015258789
2022-08-19,16.389999389648438
2022-08-22,15.789999961853027
2022-08-23,13.3100004196167
2022-08-24,13.15999984741211
2022-08-25,13.319999694824219
2022-08-26,13.15999984741211
2022-08-29,13.25
2022-08-30,13.260000228881836
2022-08-31,13.359999656677246
2022-09-01,13.289999961853027
2022-09-02,13.100000381469727
2022-09-06,13.850000381469727
2022-09-07,14.1899995803833
2022-09-08,15.710000038146973
2022-09-09,15.460000038146973
2022-09-12,17.100000381469727
