Date,KNF
2024-03-07,76.62000274658203
2024-03-08,76.12000274658203
2024-03-11,75.93000030517578
2024-03-12,76.4000015258789
2024-03-13,76.5999984741211
2024-03-14,76.06999969482422
2024-03-15,75.26000213623047
2024-03-18,76.19999694824219
2024-03-19,76.36000061035156
2024-03-20,77.62000274658203
2024-03-21,78.56999969482422
2024-03-22,78.97000122070312
2024-03-25,79.05999755859375
2024-03-26,79.66000366210938
2024-03-27,80.05999755859375
2024-03-28,81.08000183105469
2024-04-01,79.12000274658203
2024-04-02,78.18000030517578
2024-04-03,78.8499984741211
2024-04-04,78.41999816894531
2024-04-05,80.7699966430664
2024-04-08,80.8499984741211
2024-04-09,79.33999633789062
2024-04-10,79.51000213623047
2024-04-11,82.05000305175781
2024-04-12,81.44999694824219
2024-04-15,80.54000091552734
