Date,CME
2010-09-29,28.079872131347656
2010-09-30,28.177236557006836
2010-10-01,28.129629135131836
2010-10-04,28.117733001708984
2010-10-05,28.954017639160156
2010-10-06,28.911828994750977
2010-10-07,28.547224044799805
2010-10-08,28.38603973388672
2010-10-11,28.08203887939453
2010-10-12,28.579692840576172
2010-10-13,28.536420822143555
2010-10-14,28.661914825439453
2010-10-15,28.9410343170166
2010-10-18,30.386404037475586
2010-10-19,30.375593185424805
2010-10-20,30.37667465209961
2010-10-21,30.535707473754883
2010-10-22,30.691499710083008
2010-10-25,30.614686965942383
2010-10-26,30.349626541137695
2010-10-27,30.557348251342773
2010-10-28,31.30924415588379
2010-10-29,31.336286544799805
2010-11-01,31.049598693847656
2010-11-02,31.260560989379883
2010-11-03,31.329805374145508
