Date,LUNG
2021-09-16,39.08000183105469
2021-09-17,38.560001373291016
2021-09-20,37.29999923706055
2021-09-21,37.5099983215332
2021-09-22,38.5
2021-09-23,39.61000061035156
2021-09-24,39.36000061035156
2021-09-27,38.5
2021-09-28,36.77000045776367
2021-09-29,36.4900016784668
2021-09-30,35.97999954223633
2021-10-01,38.0
2021-10-04,37.630001068115234
2021-10-05,38.38999938964844
2021-10-06,38.2400016784668
2021-10-07,38.900001525878906
2021-10-08,38.220001220703125
2021-10-11,38.08000183105469
2021-10-12,38.380001068115234
2021-10-13,38.81999969482422
2021-10-14,39.470001220703125
2021-10-15,39.810001373291016
2021-10-18,38.720001220703125
2021-10-19,39.619998931884766
2021-10-20,40.150001525878906
2021-10-21,39.650001525878906
2021-10-22,39.540000915527344
2021-10-25,40.040000915527344
2021-10-26,40.16999816894531
2021-10-27,38.52000045776367
2021-10-28,39.650001525878906
2021-10-29,38.93000030517578
2021-11-01,40.040000915527344
2021-11-02,39.720001220703125
2021-11-03,42.869998931884766
2021-11-04,43.63999938964844
2021-11-05,45.099998474121094
2021-11-08,43.810001373291016
2021-11-09,43.0
2021-11-10,42.310001373291016
2021-11-11,41.689998626708984
2021-11-12,40.209999084472656
2021-11-15,38.11000061035156
2021-11-16,38.0099983215332
2021-11-17,37.0099983215332
2021-11-18,34.9900016784668
2021-11-19,34.65999984741211
2021-11-22,35.209999084472656
2021-11-23,35.0099983215332
2021-11-24,34.52000045776367
2021-11-26,33.7599983215332
2021-11-29,32.290000915527344
2021-11-30,32.29999923706055
2021-12-01,30.6299991607666
2021-12-02,30.540000915527344
2021-12-03,29.719999313354492
2021-12-06,31.3799991607666
2021-12-07,33.86000061035156
2021-12-08,36.0
2021-12-09,34.79999923706055
2021-12-10,33.97999954223633
2021-12-13,33.619998931884766
2021-12-14,31.799999237060547
2021-12-15,32.189998626708984
2021-12-16,30.510000228881836
2021-12-17,31.18000030517578
2021-12-20,30.90999984741211
2021-12-21,32.130001068115234
2021-12-22,31.8799991607666
2021-12-23,33.02000045776367
2021-12-27,32.63999938964844
2021-12-28,32.54999923706055
2021-12-29,32.040000915527344
2021-12-30,32.91999816894531
2021-12-31,32.06999969482422
2022-01-03,35.5099983215332
2022-01-04,35.650001525878906
2022-01-05,32.5
2022-01-06,32.130001068115234
2022-01-07,30.25
2022-01-10,30.290000915527344
2022-01-11,29.989999771118164
2022-01-12,30.81999969482422
2022-01-13,28.8700008392334
2022-01-14,27.790000915527344
2022-01-18,25.719999313354492
2022-01-19,25.18000030517578
2022-01-20,24.6299991607666
2022-01-21,23.81999969482422
2022-01-24,25.020000457763672
2022-01-25,23.5
2022-01-26,23.100000381469727
2022-01-27,21.770000457763672
2022-01-28,23.0
2022-01-31,24.350000381469727
2022-02-01,25.690000534057617
2022-02-02,25.18000030517578
2022-02-03,24.549999237060547
2022-02-04,25.8700008392334
2022-02-07,26.940000534057617
2022-02-08,27.790000915527344
2022-02-09,28.389999389648438
2022-02-10,28.1299991607666
2022-02-11,27.700000762939453
2022-02-14,27.190000534057617
2022-02-15,28.34000015258789
2022-02-16,28.079999923706055
2022-02-17,27.18000030517578
2022-02-18,26.600000381469727
2022-02-22,26.940000534057617
2022-02-23,26.25
2022-02-24,25.079999923706055
2022-02-25,24.940000534057617
2022-02-28,26.260000228881836
2022-03-01,26.559999465942383
2022-03-02,25.100000381469727
2022-03-03,23.889999389648438
2022-03-04,22.729999542236328
2022-03-07,21.459999084472656
2022-03-08,21.420000076293945
2022-03-09,22.709999084472656
2022-03-10,22.280000686645508
2022-03-11,21.75
2022-03-14,21.1299991607666
2022-03-15,21.450000762939453
2022-03-16,23.040000915527344
2022-03-17,25.18000030517578
2022-03-18,24.920000076293945
2022-03-21,23.719999313354492
2022-03-22,24.399999618530273
2022-03-23,23.93000030517578
2022-03-24,24.34000015258789
2022-03-25,23.579999923706055
2022-03-28,22.959999084472656
2022-03-29,24.309999465942383
2022-03-30,24.549999237060547
2022-03-31,24.809999465942383
2022-04-01,25.690000534057617
2022-04-04,25.829999923706055
2022-04-05,25.790000915527344
2022-04-06,25.399999618530273
2022-04-07,25.5
2022-04-08,25.940000534057617
2022-04-11,26.100000381469727
2022-04-12,26.790000915527344
2022-04-13,27.34000015258789
2022-04-14,27.260000228881836
2022-04-18,26.010000228881836
2022-04-19,27.950000762939453
2022-04-20,27.65999984741211
2022-04-21,27.020000457763672
2022-04-22,26.0
2022-04-25,27.0
2022-04-26,27.049999237060547
2022-04-27,25.389999389648438
2022-04-28,25.15999984741211
2022-04-29,24.100000381469727
2022-05-02,25.079999923706055
2022-05-03,25.34000015258789
2022-05-04,25.229999542236328
2022-05-05,22.6200008392334
2022-05-06,19.15999984741211
2022-05-09,16.079999923706055
2022-05-10,16.709999084472656
2022-05-11,15.59000015258789
2022-05-12,16.329999923706055
2022-05-13,18.709999084472656
2022-05-16,18.079999923706055
2022-05-17,18.979999542236328
2022-05-18,18.15999984741211
2022-05-19,18.520000457763672
2022-05-20,19.219999313354492
2022-05-23,19.770000457763672
2022-05-24,18.6299991607666
2022-05-25,18.219999313354492
2022-05-26,18.389999389648438
2022-05-27,18.5
2022-05-31,18.260000228881836
2022-06-01,17.639999389648438
2022-06-02,19.09000015258789
2022-06-03,18.5
2022-06-06,18.709999084472656
2022-06-07,19.6200008392334
2022-06-08,19.479999542236328
2022-06-09,18.530000686645508
2022-06-10,18.329999923706055
2022-06-13,16.520000457763672
2022-06-14,15.199999809265137
2022-06-15,14.979999542236328
2022-06-16,14.0
2022-06-17,14.319999694824219
2022-06-21,14.59000015258789
2022-06-22,14.930000305175781
2022-06-23,15.899999618530273
2022-06-24,15.850000381469727
2022-06-27,15.84000015258789
2022-06-28,15.140000343322754
2022-06-29,14.789999961853027
2022-06-30,14.720000267028809
2022-07-01,15.350000381469727
2022-07-05,17.020000457763672
2022-07-06,16.979999542236328
2022-07-07,17.329999923706055
2022-07-08,17.299999237060547
2022-07-11,15.819999694824219
2022-07-12,15.65999984741211
2022-07-13,15.6899995803833
2022-07-14,15.449999809265137
2022-07-15,15.960000038146973
2022-07-18,15.569999694824219
2022-07-19,16.290000915527344
2022-07-20,17.030000686645508
2022-07-21,17.389999389648438
2022-07-22,16.540000915527344
2022-07-25,15.989999771118164
2022-07-26,15.979999542236328
2022-07-27,16.510000228881836
2022-07-28,17.139999389648438
2022-07-29,17.040000915527344
2022-08-01,17.5
2022-08-02,18.479999542236328
2022-08-03,19.110000610351562
2022-08-04,19.360000610351562
2022-08-05,20.989999771118164
2022-08-08,21.389999389648438
