Date,PRTH
2020-09-04,2.549999952316284
2020-09-08,2.6700000762939453
2020-09-09,2.6500000953674316
2020-09-10,2.7899999618530273
2020-09-11,2.9700000286102295
2020-09-14,3.319999933242798
2020-09-15,3.6700000762939453
2020-09-16,3.4800000190734863
2020-09-17,3.5299999713897705
2020-09-18,3.244999885559082
2020-09-21,3.0299999713897705
2020-09-22,3.059999942779541
2020-09-23,2.5299999713897705
2020-09-24,2.509999990463257
2020-09-25,2.5199999809265137
2020-09-28,2.5399999618530273
2020-09-29,2.75
2020-09-30,3.1549999713897705
2020-10-01,3.0299999713897705
2020-10-02,3.140000104904175
2020-10-05,3.0899999141693115
2020-10-06,3.0199999809265137
2020-10-07,3.069999933242798
2020-10-08,3.299999952316284
2020-10-09,3.190000057220459
2020-10-12,3.059999942779541
2020-10-13,3.009999990463257
2020-10-14,3.109999895095825
2020-10-15,3.069999933242798
2020-10-16,3.0199999809265137
2020-10-19,2.9700000286102295
2020-10-20,2.890000104904175
2020-10-21,2.880000114440918
2020-10-22,2.9000000953674316
2020-10-23,3.0
2020-10-26,2.869999885559082
2020-10-27,2.8499999046325684
2020-10-28,2.690000057220459
2020-10-29,2.8399999141693115
2020-10-30,2.890000104904175
2020-11-02,2.8499999046325684
2020-11-03,2.740000009536743
2020-11-04,2.6600000858306885
2020-11-05,2.7699999809265137
2020-11-06,2.7300000190734863
2020-11-09,2.690000057220459
2020-11-10,2.7300000190734863
2020-11-11,2.740000009536743
2020-11-12,2.680000066757202
2020-11-13,3.3399999141693115
2020-11-16,3.380000114440918
2020-11-17,3.3299999237060547
2020-11-18,3.490000009536743
2020-11-19,3.680000066757202
2020-11-20,3.940000057220459
2020-11-23,4.190000057220459
2020-11-24,5.0
2020-11-25,4.650000095367432
2020-11-27,4.340000152587891
2020-11-30,4.880000114440918
2020-12-01,6.119999885559082
2020-12-02,5.329999923706055
2020-12-03,6.304999828338623
2020-12-04,5.940000057220459
2020-12-07,5.920000076293945
2020-12-08,6.480000019073486
2020-12-09,5.96999979019165
2020-12-10,6.389999866485596
2020-12-11,5.849999904632568
2020-12-14,5.75
2020-12-15,5.849999904632568
2020-12-16,6.050000190734863
2020-12-17,6.25
2020-12-18,6.769999980926514
2020-12-21,6.619999885559082
2020-12-22,6.590000152587891
2020-12-23,6.360000133514404
2020-12-24,6.360000133514404
2020-12-28,7.309999942779541
2020-12-29,7.019999980926514
2020-12-30,7.139999866485596
2020-12-31,7.039999961853027
2021-01-04,6.550000190734863
2021-01-05,6.559999942779541
2021-01-06,6.820000171661377
2021-01-07,6.96999979019165
2021-01-08,7.46999979019165
2021-01-11,6.96999979019165
2021-01-12,7.429999828338623
2021-01-13,7.28000020980835
2021-01-14,7.699999809265137
2021-01-15,7.650000095367432
2021-01-19,7.760000228881836
2021-01-20,7.590000152587891
2021-01-21,7.5
2021-01-22,7.889999866485596
2021-01-25,7.679999828338623
2021-01-26,7.699999809265137
2021-01-27,7.75
2021-01-28,8.09000015258789
2021-01-29,7.840000152587891
2021-02-01,7.400000095367432
2021-02-02,7.800000190734863
2021-02-03,7.909999847412109
2021-02-04,8.270000457763672
2021-02-05,7.880000114440918
2021-02-08,7.519999980926514
2021-02-09,7.650000095367432
2021-02-10,7.53000020980835
2021-02-11,7.739999771118164
2021-02-12,7.920000076293945
2021-02-16,8.15999984741211
2021-02-17,8.470000267028809
2021-02-18,8.430000305175781
2021-02-19,8.489999771118164
2021-02-22,8.619999885559082
2021-02-23,9.15999984741211
2021-02-24,9.220000267028809
2021-02-25,8.529999732971191
2021-02-26,9.079999923706055
2021-03-01,9.079999923706055
2021-03-02,9.039999961853027
2021-03-03,8.649999618530273
2021-03-04,7.0
2021-03-05,6.800000190734863
2021-03-08,6.389999866485596
2021-03-09,7.110000133514404
2021-03-10,7.269999980926514
2021-03-11,7.96999979019165
2021-03-12,7.880000114440918
2021-03-15,7.789999961853027
2021-03-16,7.460000038146973
2021-03-17,8.529999732971191
2021-03-18,8.630000114440918
2021-03-19,9.0
2021-03-22,8.8100004196167
2021-03-23,8.729999542236328
2021-03-24,7.840000152587891
2021-03-25,7.599999904632568
2021-03-26,7.630000114440918
2021-03-29,6.679999828338623
2021-03-30,7.190000057220459
2021-03-31,6.940000057220459
2021-04-01,7.260000228881836
2021-04-05,7.119999885559082
2021-04-06,7.079999923706055
2021-04-07,7.010000228881836
2021-04-08,7.039999961853027
2021-04-09,7.099999904632568
2021-04-12,7.03000020980835
2021-04-13,7.159999847412109
2021-04-14,7.130000114440918
2021-04-15,7.119999885559082
2021-04-16,6.960000038146973
2021-04-19,6.889999866485596
2021-04-20,6.809999942779541
2021-04-21,6.900000095367432
2021-04-22,6.599999904632568
2021-04-23,6.789999961853027
2021-04-26,6.829999923706055
2021-04-27,6.730000019073486
2021-04-28,6.630000114440918
2021-04-29,6.480000019073486
2021-04-30,6.949999809265137
2021-05-03,6.659999847412109
2021-05-04,6.320000171661377
2021-05-05,6.349999904632568
2021-05-06,6.5
2021-05-07,6.550000190734863
2021-05-10,6.5
2021-05-11,6.599999904632568
2021-05-12,6.25
2021-05-13,6.289999961853027
2021-05-14,6.610000133514404
