Date,JBTM
2010-09-29,14.296247482299805
2010-09-30,14.358633995056152
2010-10-01,14.42102336883545
2010-10-04,14.385371208190918
2010-10-05,15.374704360961914
2010-10-06,15.125134468078613
2010-10-07,15.330129623413086
2010-10-08,15.624258041381836
2010-10-11,15.392525672912598
2010-10-12,15.29448127746582
2010-10-13,15.722304344177246
2010-10-14,15.588602066040039
2010-10-15,15.535133361816406
2010-10-18,15.686655044555664
2010-10-19,15.241004943847656
2010-10-20,15.766861915588379
2010-10-21,15.766861915588379
2010-10-22,16.034250259399414
2010-10-25,15.713384628295898
2010-10-26,15.659907341003418
2010-10-27,15.09839916229248
2010-10-28,15.258831024169922
2010-10-29,15.241004943847656
2010-11-01,15.01818561553955
2010-11-02,15.544046401977539
2010-11-03,15.027097702026367
