Date,FDX
2010-09-29,72.1611557006836
2010-09-30,71.43426513671875
2010-10-01,71.55125427246094
2010-10-04,71.37580108642578
2010-10-05,73.38097381591797
2010-10-06,73.00501251220703
2010-10-07,72.47026824951172
2010-10-08,74.09947967529297
2010-10-11,73.857177734375
2010-10-12,73.50631713867188
2010-10-13,74.98509979248047
2010-10-14,74.6843490600586
2010-10-15,74.8764877319336
2010-10-18,74.75118255615234
2010-10-19,72.80445861816406
2010-10-20,74.29167175292969
2010-10-21,73.99920654296875
2010-10-22,74.24150848388672
2010-10-25,74.82637786865234
2010-10-26,74.89322662353516
2010-10-27,73.6316146850586
2010-10-28,74.21647644042969
2010-10-29,73.2890853881836
2010-11-01,72.20291900634766
2010-11-02,72.71257019042969
2010-11-03,73.05514526367188
2010-11-04,74.19139099121094
