Date,AMR
2021-11-02,56.09455490112305
2021-11-03,58.657684326171875
2021-11-04,56.70211410522461
2021-11-05,57.92672348022461
2021-11-08,56.075565338134766
2021-11-09,52.43022918701172
2021-11-10,49.61078643798828
2021-11-11,50.835391998291016
2021-11-12,50.42719268798828
2021-11-15,47.541297912597656
2021-11-16,47.902034759521484
2021-11-17,46.04139709472656
2021-11-18,45.03512954711914
2021-11-19,43.801029205322266
2021-11-22,45.87051773071289
2021-11-23,46.45908737182617
2021-11-24,46.33567810058594
2021-11-26,43.09853744506836
2021-11-29,44.48453140258789
2021-11-30,44.228214263916016
2021-12-01,42.61439514160156
2021-12-02,45.0636100769043
2021-12-03,43.69660568237305
2021-12-06,45.149044036865234
2021-12-07,46.82931900024414
2021-12-08,48.62350845336914
