Date,INSW
2017-08-15,12.291308403015137
2017-08-16,12.373761177062988
2017-08-17,11.764900207519531
2017-08-18,11.891746520996094
2017-08-21,11.53023624420166
2017-08-22,11.568288803100586
2017-08-23,11.669766426086426
2017-08-24,11.904433250427246
2017-08-25,11.929800987243652
2017-08-28,11.574633598327637
2017-08-29,11.967855453491211
2017-08-30,11.619027137756348
2017-08-31,11.695136070251465
2017-09-01,11.682454109191895
2017-09-05,11.682454109191895
2017-09-06,11.56195068359375
2017-09-07,11.498526573181152
2017-09-08,11.409733772277832
2017-09-11,11.479497909545898
2017-09-12,11.669766426086426
2017-09-13,11.542922973632812
2017-09-14,11.60634708404541
2017-09-15,11.600005149841309
2017-09-18,11.796612739562988
2017-09-19,11.942483901977539
2017-09-20,12.456209182739258
