Date,ENSG
2010-09-27,4.1038126945495605
2010-09-28,4.103813648223877
2010-09-29,4.205052852630615
2010-09-30,4.226245403289795
2010-10-01,4.2686238288879395
2010-10-04,4.2238898277282715
2010-10-05,4.280398845672607
2010-10-06,4.27333402633667
2010-10-07,4.247432231903076
2010-10-08,4.249788761138916
2010-10-11,4.176802158355713
2010-10-12,4.134420394897461
2010-10-13,4.2215375900268555
2010-10-14,4.27569055557251
2010-10-15,4.296878814697266
2010-10-18,4.315713405609131
2010-10-19,4.207408428192139
2010-10-20,4.278041839599609
2010-10-21,4.28746223449707
2010-10-22,4.303942680358887
2010-10-25,4.313361167907715
2010-10-26,4.311004638671875
2010-10-27,4.332195281982422
2010-10-28,4.294524192810059
2010-10-29,4.4240193367004395
2010-11-01,4.431082725524902
