Date,RVMD
2020-11-11,35.7599983215332
2020-11-12,38.040000915527344
2020-11-13,39.939998626708984
2020-11-16,40.0
2020-11-17,39.59000015258789
2020-11-18,37.869998931884766
2020-11-19,38.4900016784668
2020-11-20,39.560001373291016
2020-11-23,40.75
2020-11-24,41.689998626708984
2020-11-25,41.81999969482422
2020-11-27,43.970001220703125
2020-11-30,43.630001068115234
2020-12-01,43.43000030517578
2020-12-02,41.779998779296875
2020-12-03,38.4900016784668
2020-12-04,40.52000045776367
2020-12-07,41.380001068115234
2020-12-08,43.41999816894531
2020-12-09,41.709999084472656
2020-12-10,42.16999816894531
2020-12-11,41.97999954223633
2020-12-14,43.349998474121094
2020-12-15,45.439998626708984
2020-12-16,43.150001525878906
2020-12-17,42.939998626708984
2020-12-18,40.68000030517578
