Date,FWONK
2015-04-02,27.675973892211914
2015-04-06,27.782148361206055
2015-04-07,27.760913848876953
2015-04-08,27.60519027709961
2015-04-09,27.612268447875977
2015-04-10,27.647661209106445
2015-04-13,27.63350486755371
2015-04-14,27.654739379882812
2015-04-15,27.73967742919922
2015-04-16,27.520252227783203
2015-04-17,26.826583862304688
2015-04-20,27.15926170349121
2015-04-21,27.307905197143555
2015-04-22,27.201730728149414
2015-04-23,27.18757438659668
2015-04-24,27.55564308166504
2015-04-27,27.109712600708008
2015-04-28,27.286670684814453
2015-04-29,27.484861373901367
2015-04-30,26.861974716186523
2015-05-01,27.095556259155273
2015-05-04,27.32206153869629
2015-05-05,26.755800247192383
2015-05-06,26.543453216552734
2015-05-07,26.60715675354004
2015-05-08,26.458513259887695
