Date,CART
2024-06-18,33.84000015258789
2024-06-20,33.08000183105469
2024-06-21,31.510000228881836
2024-06-24,31.350000381469727
2024-06-25,32.880001068115234
2024-06-26,32.099998474121094
2024-06-27,31.729999542236328
2024-06-28,32.13999938964844
2024-07-01,32.400001525878906
2024-07-02,33.16999816894531
2024-07-03,34.130001068115234
2024-07-05,34.47999954223633
2024-07-08,34.11000061035156
2024-07-09,33.189998626708984
2024-07-10,33.33000183105469
2024-07-11,34.56999969482422
2024-07-12,34.869998931884766
2024-07-15,34.72999954223633
2024-07-16,36.5099983215332
2024-07-17,35.290000915527344
2024-07-18,35.0
2024-07-19,35.0
2024-07-22,35.56999969482422
2024-07-23,35.279998779296875
2024-07-24,33.970001220703125
2024-07-25,34.09000015258789
2024-07-26,34.31999969482422
