Date,DHR
2010-09-29,16.443784713745117
2010-09-30,16.459999084472656
2010-10-01,16.374879837036133
2010-10-04,16.099258422851562
2010-10-05,16.528892517089844
2010-10-06,16.569429397583008
2010-10-07,16.504579544067383
2010-10-08,16.776147842407227
2010-10-11,16.73967170715332
2010-10-12,16.76398277282715
2010-10-13,17.03554344177246
2010-10-14,16.958534240722656
2010-10-15,16.990964889526367
2010-10-18,17.011226654052734
2010-10-19,16.703184127807617
2010-10-20,16.857202529907227
2010-10-21,17.578676223754883
2010-10-22,17.50166130065918
2010-10-25,17.3719539642334
2010-10-26,17.416547775268555
2010-10-27,17.384124755859375
2010-10-28,17.457073211669922
2010-10-29,17.574623107910156
2010-11-01,17.509769439697266
2010-11-02,17.704317092895508
2010-11-03,17.752962112426758
