Date,MDLZ
2010-09-29,14.880712509155273
2010-09-30,14.713827133178711
2010-10-01,14.880712509155273
2010-10-04,14.75197982788086
2010-10-05,14.914082527160645
2010-10-06,14.923620223999023
2010-10-07,14.871172904968262
2010-10-08,14.747207641601562
2010-10-11,14.79965591430664
2010-10-12,14.852100372314453
2010-10-13,15.01421070098877
2010-10-14,15.162018775939941
2010-10-15,15.090498924255371
2010-10-18,15.09526538848877
2010-10-19,14.995140075683594
2010-10-20,15.162018775939941
2010-10-21,15.171553611755371
2010-10-22,15.209696769714355
2010-10-25,15.481467247009277
2010-10-26,15.41472339630127
2010-10-27,15.25737476348877
2010-10-28,15.324122428894043
2010-10-29,15.386114120483398
2010-11-01,15.152483940124512
2010-11-02,15.181095123291016
2010-11-03,15.05235481262207
