Date,BWIN
2020-07-27,16.940000534057617
2020-07-28,16.6200008392334
2020-07-29,16.68000030517578
2020-07-30,16.790000915527344
2020-07-31,17.450000762939453
2020-08-03,17.610000610351562
2020-08-04,17.399999618530273
2020-08-05,17.8799991607666
2020-08-06,17.649999618530273
2020-08-07,19.229999542236328
2020-08-10,20.75
2020-08-11,20.649999618530273
2020-08-12,20.610000610351562
2020-08-13,21.010000228881836
2020-08-14,22.170000076293945
2020-08-17,21.65999984741211
2020-08-18,21.6299991607666
2020-08-19,22.420000076293945
2020-08-20,22.799999237060547
2020-08-21,23.280000686645508
2020-08-24,24.889999389648438
2020-08-25,25.049999237060547
2020-08-26,24.549999237060547
2020-08-27,24.559999465942383
2020-08-28,24.690000534057617
2020-08-31,27.510000228881836
2020-09-01,27.489999771118164
