Date,NVRI
2017-05-17,13.899999618530273
2017-05-18,13.699999809265137
2017-05-19,13.899999618530273
2017-05-22,14.149999618530273
2017-05-23,14.300000190734863
2017-05-24,14.449999809265137
2017-05-25,14.550000190734863
2017-05-26,14.899999618530273
2017-05-30,14.649999618530273
2017-05-31,14.899999618530273
2017-06-01,15.449999809265137
2017-06-02,15.600000381469727
2017-06-05,15.449999809265137
2017-06-06,15.5
2017-06-07,15.600000381469727
2017-06-08,16.0
2017-06-09,16.25
2017-06-12,16.700000762939453
2017-06-13,16.850000381469727
2017-06-14,16.799999237060547
2017-06-15,16.700000762939453
2017-06-16,16.799999237060547
2017-06-19,16.950000762939453
2017-06-20,16.200000762939453
2017-06-21,15.0
2017-06-22,15.449999809265137
2017-06-23,15.149999618530273
2017-06-26,15.399999618530273
2017-06-27,15.300000190734863
2017-06-28,16.049999237060547
2017-06-29,16.049999237060547
2017-06-30,16.100000381469727
2017-07-03,16.549999237060547
2017-07-05,16.450000762939453
2017-07-06,15.949999809265137
2017-07-07,16.350000381469727
2017-07-10,16.100000381469727
2017-07-11,16.299999237060547
2017-07-12,16.450000762939453
2017-07-13,16.549999237060547
2017-07-14,16.299999237060547
2017-07-17,16.149999618530273
2017-07-18,15.649999618530273
2017-07-19,16.25
2017-07-20,16.100000381469727
2017-07-21,15.550000190734863
2017-07-24,16.049999237060547
2017-07-25,16.350000381469727
2017-07-26,15.649999618530273
2017-07-27,15.649999618530273
2017-07-28,15.550000190734863
2017-07-31,15.449999809265137
2017-08-01,15.399999618530273
2017-08-02,15.550000190734863
2017-08-03,16.600000381469727
2017-08-04,16.75
2017-08-07,16.5
2017-08-08,17.299999237060547
2017-08-09,16.850000381469727
2017-08-10,16.149999618530273
2017-08-11,16.25
2017-08-14,16.149999618530273
2017-08-15,15.75
2017-08-16,16.0
2017-08-17,15.899999618530273
2017-08-18,15.850000381469727
2017-08-21,15.800000190734863
2017-08-22,16.149999618530273
2017-08-23,16.399999618530273
2017-08-24,16.600000381469727
2017-08-25,16.899999618530273
2017-08-28,16.799999237060547
2017-08-29,17.149999618530273
2017-08-30,17.600000381469727
2017-08-31,17.100000381469727
2017-09-01,17.450000762939453
2017-09-05,17.049999237060547
2017-09-06,16.799999237060547
2017-09-07,17.200000762939453
2017-09-08,17.100000381469727
2017-09-11,17.299999237060547
2017-09-12,17.899999618530273
2017-09-13,17.649999618530273
2017-09-14,17.850000381469727
2017-09-15,18.700000762939453
2017-09-18,19.5
2017-09-19,19.899999618530273
2017-09-20,19.700000762939453
2017-09-21,19.399999618530273
2017-09-22,19.75
2017-09-25,19.950000762939453
2017-09-26,20.100000381469727
2017-09-27,20.799999237060547
2017-09-28,20.75
2017-09-29,20.899999618530273
2017-10-02,21.350000381469727
2017-10-03,21.299999237060547
2017-10-04,21.149999618530273
2017-10-05,20.850000381469727
2017-10-06,20.850000381469727
2017-10-09,20.899999618530273
2017-10-10,20.899999618530273
2017-10-11,21.049999237060547
2017-10-12,21.450000762939453
2017-10-13,21.450000762939453
2017-10-16,21.850000381469727
2017-10-17,21.149999618530273
2017-10-18,21.5
2017-10-19,21.299999237060547
2017-10-20,21.5
2017-10-23,21.399999618530273
2017-10-24,21.450000762939453
2017-10-25,21.200000762939453
2017-10-26,21.149999618530273
2017-10-27,21.5
2017-10-30,20.399999618530273
2017-10-31,21.25
2017-11-01,20.899999618530273
2017-11-02,21.25
2017-11-03,21.100000381469727
2017-11-06,21.200000762939453
2017-11-07,20.700000762939453
2017-11-08,18.649999618530273
2017-11-09,18.649999618530273
2017-11-10,17.649999618530273
2017-11-13,17.049999237060547
2017-11-14,16.850000381469727
2017-11-15,16.25
2017-11-16,16.75
2017-11-17,16.75
2017-11-20,17.0
2017-11-21,17.950000762939453
2017-11-22,17.5
2017-11-24,17.350000381469727
2017-11-27,17.600000381469727
2017-11-28,17.950000762939453
2017-11-29,18.0
2017-11-30,18.049999237060547
2017-12-01,17.899999618530273
2017-12-04,17.899999618530273
2017-12-05,17.450000762939453
2017-12-06,17.600000381469727
