Date,OLP
2010-09-24,5.684454917907715
2010-09-27,5.657172203063965
2010-09-28,5.776522636413574
2010-09-29,5.425296306610107
2010-09-30,5.425296306610107
2010-10-01,5.438933372497559
2010-10-04,5.384375095367432
2010-10-05,5.455985069274902
2010-10-06,5.510542392730713
2010-10-07,5.466216087341309
2010-10-08,5.531002521514893
2010-10-11,5.554874897003174
2010-10-12,5.5855631828308105
2010-10-13,5.779932498931885
2010-10-14,5.708321571350098
2010-10-15,5.7697038650512695
2010-10-18,5.803804397583008
2010-10-19,5.663994312286377
2010-10-20,5.7697038650512695
2010-10-21,5.684454917907715
2010-10-22,5.551465034484863
2010-10-25,5.455985069274902
2010-10-26,5.47985315322876
2010-10-27,5.438933372497559
2010-10-28,5.370732307434082
2010-10-29,5.442344665527344
