Date,SHO
2011-07-28,5.790323734283447
2011-07-29,5.758011341094971
2011-08-01,5.6158366203308105
2011-08-02,5.363805770874023
2011-08-03,5.318565845489502
2011-08-04,4.937284469604492
2011-08-05,4.646474838256836
2011-08-08,3.909761667251587
2011-08-09,4.213494777679443
2011-08-10,3.786975860595703
2011-08-11,3.83221173286438
2011-08-12,3.741737127304077
2011-08-15,4.110095500946045
2011-08-16,4.1424078941345215
2011-08-17,4.1359453201293945
2011-08-18,3.7482008934020996
2011-08-19,3.444467067718506
2011-08-22,3.2958316802978516
2011-08-23,3.3216803073883057
2011-08-24,3.36045503616333
2011-08-25,3.37984299659729
2011-08-26,3.425079345703125
2011-08-29,3.6318774223327637
2011-08-30,3.6835761070251465
2011-08-31,3.9032979011535645
2011-09-01,3.845137119293213
2011-09-02,3.5995657444000244
2011-09-06,3.5220155715942383
2011-09-07,3.786975860595703
2011-09-08,3.657726526260376
2011-09-09,3.5995657444000244
2011-09-12,3.5737149715423584
2011-09-13,3.6254143714904785
2011-09-14,3.677114248275757
2011-09-15,3.780513286590576
2011-09-16,3.851598024368286
2011-09-19,3.6254143714904785
2011-09-20,3.6254143714904785
2011-09-21,3.5284788608551025
2011-09-22,3.4056921005249023
2011-09-23,3.47031569480896
2011-09-26,3.515552043914795
2011-09-27,3.7094268798828125
2011-09-28,3.5931026935577393
2011-09-29,3.741737127304077
2011-09-30,3.677114248275757
2011-10-03,3.27644419670105
2011-10-04,3.3863046169281006
2011-10-05,3.3410675525665283
2011-10-06,3.47031569480896
2011-10-07,3.27644419670105
2011-10-10,3.6189522743225098
2011-10-11,3.6835761070251465
2011-10-12,3.896836519241333
2011-10-13,4.0196213722229
2011-10-14,4.161794662475586
2011-10-17,3.99377179145813
2011-10-18,4.284579753875732
2011-10-19,4.084245681762695
2011-10-20,4.013160228729248
2011-10-21,4.219956874847412
2011-10-24,4.400905132293701
2011-10-25,4.161794662475586
2011-10-26,4.265192985534668
2011-10-27,4.678788185119629
2011-10-28,4.633550643920898
2011-10-31,4.491377353668213
2011-11-01,4.213494777679443
2011-11-02,4.426753997802734
2011-11-03,4.581851482391357
2011-11-04,4.646474838256836
2011-11-07,4.478453159332275
2011-11-08,4.937284469604492
2011-11-09,4.698175430297852
2011-11-10,4.795111179351807
2011-11-11,4.950210094451904
2011-11-14,4.846811294555664
2011-11-15,4.917896747589111
2011-11-16,4.827424049377441
2011-11-17,4.743412017822266
2011-11-18,4.8144989013671875
2011-11-21,4.640011787414551
2011-11-22,4.433216094970703
2011-11-23,4.278118133544922
2011-11-25,4.213494777679443
2011-11-28,4.368591785430908
2011-11-29,4.4849162101745605
2011-11-30,4.924360752105713
2011-12-01,4.917896747589111
2011-12-02,4.885584831237793
2011-12-05,5.060070991516113
2011-12-06,5.040683746337891
2011-12-07,5.001908302307129
2011-12-08,4.795111179351807
2011-12-09,4.833885192871094
2011-12-12,4.808035373687744
2011-12-13,4.704637050628662
2011-12-14,4.607700824737549
2011-12-15,4.607700824737549
2011-12-16,4.672325134277344
2011-12-19,4.601236820220947
2011-12-20,4.820961952209473
2011-12-21,4.917896747589111
2011-12-22,5.0536088943481445
2011-12-23,5.060070991516113
2011-12-27,5.118231773376465
2011-12-28,5.047144412994385
2011-12-29,5.163469314575195
2011-12-30,5.266866683959961
2012-01-03,5.312105178833008
2012-01-04,5.273330211639404
2012-01-05,5.253943920135498
2012-01-06,5.208706378936768
2012-01-09,5.3056416511535645
2012-01-10,5.4025774002075195
2012-01-11,5.447815895080566
2012-01-12,5.421965599060059
2012-01-13,5.473667144775391
2012-01-17,5.551215171813965
2012-01-18,5.622299671173096
2012-01-19,5.6481499671936035
2012-01-20,5.7321624755859375
2012-01-23,5.822636127471924
2012-01-24,5.97127103805542
2012-01-25,6.081131935119629
2012-01-26,6.022972106933594
2012-01-27,6.035896301269531
2012-01-30,6.022972106933594
2012-01-31,6.003583908081055
2012-02-01,6.106983184814453
2012-02-02,6.035896301269531
2012-02-03,6.223304748535156
2012-02-06,6.320240497589111
2012-02-07,6.397790908813477
2012-02-08,6.455952167510986
2012-02-09,6.3784027099609375
2012-02-10,6.294391632080078
2012-02-13,6.4624152183532715
2012-02-14,6.223304748535156
2012-02-15,6.055282115936279
2012-02-16,6.061744213104248
2012-02-17,6.061744213104248
2012-02-21,5.900184154510498
2012-02-22,5.906646251678467
2012-02-23,6.06820821762085
2012-02-24,5.964809894561768
2012-02-27,5.906646251678467
2012-02-28,5.822636127471924
2012-02-29,5.803246974945068
2012-03-01,5.9260334968566895
2012-03-02,5.7967848777771
2012-03-05,5.829097270965576
2012-03-06,5.6481499671936035
2012-03-07,5.75154972076416
2012-03-08,5.75154972076416
2012-03-09,5.94542121887207
2012-03-12,5.932497024536133
2012-03-13,6.081131935119629
2012-03-14,6.035896301269531
2012-03-15,6.255617618560791
2012-03-16,6.113443851470947
2012-03-19,6.1586809158325195
2012-03-20,6.255617618560791
2012-03-21,6.281466484069824
2012-03-22,6.268539905548096
2012-03-23,6.255617618560791
2012-03-26,6.346090793609619
2012-03-27,6.313778877258301
2012-03-28,6.236230850219727
2012-03-29,6.16514253616333
2012-03-30,6.294391632080078
2012-04-02,6.417178153991699
2012-04-03,6.359014511108398
2012-04-04,6.236230850219727
2012-04-05,6.320240497589111
2012-04-09,6.223304748535156
2012-04-10,5.990657806396484
2012-04-11,6.2491559982299805
2012-04-12,6.4042534828186035
2012-04-13,6.417178153991699
2012-04-16,6.50119161605835
2012-04-17,6.604587078094482
2012-04-18,6.49472713470459
2012-04-19,6.5528883934021
2012-04-20,6.669211387634277
2012-04-23,6.455952167510986
2012-04-24,6.49472713470459
2012-04-25,6.4624152183532715
2012-04-26,6.52703857421875
2012-04-27,6.591663360595703
2012-04-30,6.591663360595703
2012-05-01,6.707985877990723
2012-05-02,6.72091007232666
2012-05-03,6.972945690155029
2012-05-04,6.856619834899902
2012-05-07,6.8049211502075195
2012-05-08,6.960020542144775
2012-05-09,6.869545936584473
2012-05-10,6.8372344970703125
2012-05-11,6.882471561431885
2012-05-14,6.766145706176758
2012-05-15,6.8372344970703125
2012-05-16,6.707985877990723
2012-05-17,6.455952167510986
2012-05-18,6.16514253616333
2012-05-21,6.333165645599365
2012-05-22,6.294391632080078
2012-05-23,6.5528883934021
2012-05-24,6.51411247253418
2012-05-25,6.423639297485352
2012-05-29,6.682135105133057
2012-05-30,6.339627742767334
2012-05-31,6.468878269195557
2012-06-01,6.171605587005615
2012-06-04,6.061744213104248
2012-06-05,6.216843128204346
2012-06-06,6.4624152183532715
2012-06-07,6.423639297485352
2012-06-08,6.591663360595703
2012-06-11,6.449490547180176
2012-06-12,6.4882636070251465
2012-06-13,6.417178153991699
2012-06-14,6.695061683654785
2012-06-15,6.8372344970703125
2012-06-18,6.8372344970703125
2012-06-19,6.901858806610107
2012-06-20,6.927708625793457
