Date,LII
2010-09-29,34.03438186645508
2010-09-30,34.47261428833008
2010-10-01,34.82817077636719
2010-10-04,33.976505279541016
2010-10-05,34.89433288574219
2010-10-06,34.99356460571289
2010-10-07,34.365108489990234
2010-10-08,35.175472259521484
2010-10-11,35.597171783447266
2010-10-12,35.415279388427734
2010-10-13,36.0436897277832
2010-10-14,35.68812942504883
2010-10-15,35.61370849609375
2010-10-18,35.44007110595703
2010-10-19,35.18373489379883
2010-10-20,35.03488540649414
2010-10-21,35.30777359008789
2010-10-22,34.85298156738281
2010-10-25,35.77908706665039
2010-10-26,34.32378005981445
2010-10-27,33.81938552856445
2010-10-28,33.728431701660156
2010-10-29,33.91035079956055
2010-11-01,33.678829193115234
2010-11-02,33.4886360168457
2010-11-03,33.30672073364258
2010-11-04,34.26590347290039
