Date,EXPI
2020-05-18,4.247602939605713
2020-05-19,4.200460433959961
2020-05-20,4.356031894683838
2020-05-21,4.2381744384765625
2020-05-22,4.356031894683838
2020-05-26,4.417318820953369
2020-05-27,4.761465072631836
2020-05-28,4.775606632232666
2020-05-29,5.039609909057617
2020-06-01,4.935894012451172
2020-06-02,5.091466903686523
2020-06-03,5.525184631347656
2020-06-04,5.621828079223633
2020-06-05,5.499255657196045
2020-06-08,5.732614040374756
2020-06-09,5.619472026824951
2020-06-10,5.5063276290893555
2020-06-11,5.447397232055664
2020-06-12,5.492184162139893
2020-06-15,5.647756576538086
2020-06-16,5.690186023712158
2020-06-17,5.633613109588623
2020-06-18,5.911757946014404
2020-06-19,6.138046741485596
2020-06-22,6.90648078918457
2020-06-23,7.4156270027160645
2020-06-24,7.3307695388793945
2020-06-25,7.613628387451172
2020-06-26,7.9813456535339355
2020-06-29,8.085062026977539
2020-06-30,8.037918090820312
2020-07-01,7.573556900024414
2020-07-02,7.891773223876953
2020-07-06,8.05206298828125
2020-07-07,7.901203155517578
2020-07-08,7.915344715118408
2020-07-09,7.887058258056641
2020-07-10,7.660772323608398
2020-07-13,7.156339168548584
2020-07-14,7.439199447631836
2020-07-15,7.7644853591918945
2020-07-16,7.750344753265381
2020-07-17,7.943631649017334
2020-07-20,8.330205917358398
2020-07-21,8.867639541625977
2020-07-22,9.480500221252441
2020-07-23,9.848217010498047
2020-07-24,8.763924598693848
2020-07-27,9.089211463928223
2020-07-28,8.990211486816406
2020-07-29,9.584213256835938
2020-07-30,9.716217041015625
2020-07-31,9.367356300354004
2020-08-03,9.447500228881836
2020-08-04,10.762794494628906
2020-08-05,11.385085105895996
2020-08-06,12.492950439453125
2020-08-07,13.728105545043945
2020-08-10,13.822388648986816
2020-08-11,14.138248443603516
2020-08-12,14.571969032287598
2020-08-13,15.835403442382812
2020-08-14,16.165407180786133
2020-08-17,15.811834335327148
2020-08-18,17.678707122802734
2020-08-19,19.17314338684082
2020-08-20,19.748291015625
2020-08-21,19.107141494750977
2020-08-24,17.58441734313965
2020-08-25,19.333433151245117
2020-08-26,19.206146240234375
2020-08-27,19.2155704498291
2020-08-28,19.314573287963867
2020-08-31,20.96929931640625
2020-09-01,21.43366241455078
2020-09-02,21.167301177978516
2020-09-03,18.390562057495117
2020-09-04,18.20671272277832
2020-09-08,18.720565795898438
2020-09-09,20.695873260498047
2020-09-10,20.34701156616211
2020-09-11,19.899150848388672
2020-09-14,19.781288146972656
2020-09-15,19.65400505065918
2020-09-16,19.62571907043457
2020-09-17,18.970426559448242
2020-09-18,18.409421920776367
2020-09-21,18.616857528686523
2020-09-22,19.008140563964844
2020-09-23,17.461851119995117
2020-09-24,18.084138870239258
2020-09-25,18.574426651000977
2020-09-28,19.73886489868164
2020-09-29,19.823728561401367
2020-09-30,19.01757049560547
2020-10-01,21.516162872314453
2020-10-02,20.615724563598633
2020-10-05,23.892179489135742
2020-10-06,24.11375617980957
2020-10-07,25.155620574951172
2020-10-08,25.4761905670166
2020-10-09,27.809782028198242
2020-10-12,27.762638092041016
2020-10-13,28.021926879882812
2020-10-14,27.941783905029297
2020-10-15,28.799785614013672
2020-10-16,26.85748863220215
2020-10-19,26.98948860168457
2020-10-20,25.994770050048828
2020-10-21,22.657032012939453
2020-10-22,21.186159133911133
2020-10-23,20.846725463867188
2020-10-26,19.578577041625977
2020-10-27,22.393022537231445
2020-10-28,21.530305862426758
2020-10-29,22.675888061523438
2020-10-30,19.984010696411133
2020-11-02,19.578577041625977
2020-11-03,20.370582580566406
2020-11-04,21.978164672851562
2020-11-05,22.88331413269043
2020-11-06,22.449594497680664
2020-11-09,19.639860153198242
2020-11-10,19.38057518005371
2020-11-11,20.983444213867188
2020-11-12,21.20501708984375
2020-11-13,20.714725494384766
2020-11-16,20.37529754638672
2020-11-17,20.559152603149414
2020-11-18,20.380014419555664
2020-11-19,21.440731048583984
2020-11-20,22.892744064331055
2020-11-23,23.84032440185547
2020-11-24,23.58104133605957
2020-11-25,24.505041122436523
2020-11-27,25.528043746948242
2020-11-30,25.14147186279297
2020-12-01,25.429048538208008
2020-12-02,25.287620544433594
2020-12-03,26.79620361328125
2020-12-04,26.701915740966797
2020-12-07,27.85220718383789
2020-12-08,27.649494171142578
2020-12-09,27.54106330871582
2020-12-10,29.09679412841797
2020-12-11,31.604812622070312
2020-12-14,32.25067138671875
2020-12-15,34.28254318237305
2020-12-16,33.9808235168457
2020-12-17,35.880699157714844
2020-12-18,36.177696228027344
2020-12-21,37.573143005371094
2020-12-22,38.4688606262207
2020-12-23,37.18656539916992
2020-12-24,37.06870651245117
2020-12-28,31.9960994720459
2020-12-29,32.12338638305664
2020-12-30,31.63309097290039
2020-12-31,29.756797790527344
2021-01-04,28.94121742248535
2021-01-05,29.57293701171875
2021-01-06,28.6489315032959
2021-01-07,31.147523880004883
2021-01-08,35.05569839477539
2021-01-11,34.640838623046875
2021-01-12,35.59312438964844
2021-01-13,35.531837463378906
2021-01-14,36.493560791015625
2021-01-15,36.7575569152832
2021-01-19,37.577850341796875
2021-01-20,43.54147720336914
2021-01-21,46.07306671142578
2021-01-22,48.519798278808594
2021-01-25,51.45210266113281
2021-01-26,55.515846252441406
2021-01-27,51.12210464477539
2021-01-28,50.801536560058594
2021-01-29,50.24995040893555
2021-02-01,54.24768829345703
2021-02-02,56.52471923828125
2021-02-03,56.105140686035156
2021-02-04,59.26844024658203
2021-02-05,63.629207611083984
2021-02-08,70.80438232421875
2021-02-09,75.92413330078125
2021-02-10,64.27506256103516
2021-02-11,68.74896240234375
2021-02-12,73.43498229980469
2021-02-16,75.37257385253906
2021-02-17,68.7442398071289
2021-02-18,64.7842025756836
2021-02-19,67.33937072753906
2021-02-22,66.29277801513672
2021-02-23,59.824737548828125
2021-02-24,62.031044006347656
2021-02-25,56.194698333740234
2021-02-26,56.939571380615234
2021-03-01,61.823612213134766
2021-03-02,59.108154296875
2021-03-03,51.131534576416016
2021-03-04,42.721187591552734
2021-03-05,41.58974075317383
2021-03-08,38.8271484375
2021-03-09,43.32461166381836
2021-03-10,43.27747344970703
2021-03-11,47.567508697509766
2021-03-12,49.4626579284668
2021-03-15,52.60239028930664
2021-03-16,52.5646858215332
2021-03-17,52.762691497802734
2021-03-18,45.00291442871094
2021-03-19,48.77436828613281
2021-03-22,48.265220642089844
2021-03-23,43.64519119262695
2021-03-24,41.05230712890625
2021-03-25,43.041751861572266
2021-03-26,45.2009162902832
2021-03-29,40.63744354248047
2021-03-30,41.42002487182617
2021-03-31,42.94746780395508
2021-04-01,42.7306022644043
2021-04-05,39.741737365722656
2021-04-06,40.46772766113281
2021-04-07,39.15715408325195
2021-04-08,41.08060073852539
2021-04-09,39.41172409057617
2021-04-12,37.06398391723633
2021-04-13,35.970279693603516
2021-04-14,35.18770217895508
2021-04-15,35.696842193603516
2021-04-16,34.60312271118164
2021-04-19,32.010250091552734
2021-04-20,30.492229461669922
2021-04-21,32.15167236328125
2021-04-22,31.604812622070312
2021-04-23,32.49110412597656
2021-04-26,34.8482551574707
2021-04-27,34.65968704223633
2021-04-28,33.79225540161133
2021-04-29,32.8399658203125
2021-04-30,32.396812438964844
2021-05-03,31.171092987060547
2021-05-04,29.62479591369629
2021-05-05,29.030792236328125
2021-05-06,26.551057815551758
2021-05-07,26.569913864135742
2021-05-10,24.373037338256836
2021-05-11,25.24990463256836
2021-05-12,23.307600021362305
2021-05-13,22.034740447998047
2021-05-14,25.080190658569336
2021-05-17,25.287620544433594
2021-05-18,26.551057815551758
2021-05-19,26.532201766967773
2021-05-20,26.975345611572266
2021-05-21,26.173913955688477
2021-05-24,26.579341888427734
2021-05-25,26.569913864135742
2021-05-26,30.077369689941406
2021-05-27,30.822235107421875
2021-05-28,30.416799545288086
2021-06-01,31.189952850341797
2021-06-02,31.425670623779297
2021-06-03,31.55767059326172
2021-06-04,31.915956497192383
2021-06-07,34.47111892700195
2021-06-08,38.34628677368164
2021-06-09,37.054561614990234
2021-06-10,33.273681640625
2021-06-11,33.7451057434082
2021-06-14,34.159969329833984
2021-06-15,33.037967681884766
2021-06-16,32.89652633666992
