Date,VICR
2014-08-06,7.840000152587891
2014-08-07,7.900000095367432
2014-08-08,7.949999809265137
2014-08-11,8.279999732971191
2014-08-12,8.020000457763672
2014-08-13,8.0
2014-08-14,7.949999809265137
2014-08-15,7.769999980926514
2014-08-18,8.079999923706055
2014-08-19,7.860000133514404
2014-08-20,7.699999809265137
2014-08-21,7.630000114440918
2014-08-22,7.809999942779541
2014-08-25,8.050000190734863
2014-08-26,8.829999923706055
2014-08-27,8.789999961853027
2014-08-28,8.34000015258789
2014-08-29,8.199999809265137
2014-09-02,8.630000114440918
2014-09-03,8.34000015258789
2014-09-04,8.319999694824219
2014-09-05,8.510000228881836
2014-09-08,8.399999618530273
2014-09-09,8.4399995803833
2014-09-10,8.729999542236328
2014-09-11,8.970000267028809
2014-09-12,9.09000015258789
2014-09-15,8.930000305175781
2014-09-16,8.90999984741211
2014-09-17,8.960000038146973
2014-09-18,9.039999961853027
2014-09-19,9.34000015258789
2014-09-22,9.510000228881836
2014-09-23,9.319999694824219
2014-09-24,9.25
2014-09-25,9.079999923706055
2014-09-26,9.229999542236328
2014-09-29,9.359999656677246
2014-09-30,9.399999618530273
2014-10-01,8.699999809265137
2014-10-02,8.949999809265137
2014-10-03,9.670000076293945
2014-10-06,9.800000190734863
2014-10-07,10.199999809265137
2014-10-08,10.430000305175781
2014-10-09,9.989999771118164
2014-10-10,9.880000114440918
2014-10-13,9.729999542236328
2014-10-14,9.739999771118164
2014-10-15,9.829999923706055
2014-10-16,9.75
2014-10-17,9.220000267028809
2014-10-20,9.25
2014-10-21,9.699999809265137
2014-10-22,11.420000076293945
2014-10-23,11.260000228881836
2014-10-24,11.34000015258789
2014-10-27,11.380000114440918
2014-10-28,12.40999984741211
2014-10-29,12.65999984741211
2014-10-30,13.069999694824219
2014-10-31,13.609999656677246
2014-11-03,13.34000015258789
2014-11-04,13.289999961853027
2014-11-05,13.050000190734863
2014-11-06,13.039999961853027
2014-11-07,12.899999618530273
2014-11-10,13.210000038146973
2014-11-11,13.020000457763672
2014-11-12,13.0600004196167
2014-11-13,12.680000305175781
2014-11-14,12.84000015258789
2014-11-17,12.319999694824219
2014-11-18,12.260000228881836
2014-11-19,11.640000343322754
2014-11-20,11.720000267028809
2014-11-21,11.75
2014-11-24,12.130000114440918
2014-11-25,12.149999618530273
2014-11-26,12.119999885559082
2014-11-28,12.199999809265137
2014-12-01,12.229999542236328
2014-12-02,12.609999656677246
2014-12-03,12.789999961853027
2014-12-04,12.850000381469727
2014-12-05,13.0
2014-12-08,12.680000305175781
2014-12-09,13.289999961853027
2014-12-10,12.449999809265137
2014-12-11,12.289999961853027
2014-12-12,12.369999885559082
2014-12-15,12.5600004196167
2014-12-16,12.479999542236328
2014-12-17,12.970000267028809
2014-12-18,13.100000381469727
2014-12-19,12.649999618530273
2014-12-22,12.640000343322754
2014-12-23,12.5600004196167
2014-12-24,12.65999984741211
2014-12-26,12.699999809265137
2014-12-29,12.5
2014-12-30,12.119999885559082
2014-12-31,12.100000381469727
2015-01-02,11.829999923706055
2015-01-05,11.779999732971191
2015-01-06,11.649999618530273
2015-01-07,11.829999923706055
2015-01-08,12.0600004196167
2015-01-09,11.979999542236328
2015-01-12,12.039999961853027
2015-01-13,12.270000457763672
2015-01-14,11.989999771118164
2015-01-15,11.899999618530273
2015-01-16,12.050000190734863
2015-01-20,11.729999542236328
2015-01-21,11.350000381469727
2015-01-22,11.75
2015-01-23,11.65999984741211
2015-01-26,11.770000457763672
2015-01-27,11.640000343322754
2015-01-28,11.229999542236328
2015-01-29,11.75
2015-01-30,10.770000457763672
2015-02-02,11.020000457763672
2015-02-03,11.239999771118164
2015-02-04,10.930000305175781
2015-02-05,11.199999809265137
2015-02-06,11.25
2015-02-09,11.0
2015-02-10,11.079999923706055
2015-02-11,10.949999809265137
2015-02-12,11.020000457763672
2015-02-13,11.09000015258789
