Date,WNS
2010-10-07,8.930000305175781
2010-10-08,8.970000267028809
2010-10-11,9.079999923706055
2010-10-12,9.289999961853027
2010-10-13,9.670000076293945
2010-10-14,10.039999961853027
2010-10-15,9.619999885559082
2010-10-18,9.329999923706055
2010-10-19,9.010000228881836
2010-10-20,9.300000190734863
2010-10-21,9.4399995803833
2010-10-22,9.75
2010-10-25,10.0600004196167
2010-10-26,10.25
2010-10-27,10.600000381469727
2010-10-28,10.649999618530273
2010-10-29,10.420000076293945
2010-11-01,10.430000305175781
2010-11-02,10.75
2010-11-03,10.75
2010-11-04,10.789999961853027
2010-11-05,10.770000457763672
2010-11-08,10.789999961853027
2010-11-09,10.630000114440918
2010-11-10,10.729999542236328
2010-11-11,10.720000267028809
2010-11-12,10.699999809265137
2010-11-15,10.699999809265137
