Date,TIPT
2011-07-05,4.783530235290527
2011-07-06,4.783530235290527
2011-07-07,4.783530235290527
2011-07-08,4.783530235290527
2011-07-11,4.783530235290527
2011-07-12,4.790605545043945
2011-07-13,4.790605545043945
2011-07-14,4.790605545043945
2011-07-15,4.790605545043945
2011-07-18,4.790605545043945
2011-07-19,4.790605545043945
2011-07-20,4.790605545043945
2011-07-21,4.790605545043945
2011-07-22,4.790605545043945
2011-07-25,4.790605545043945
2011-07-26,4.790605545043945
2011-07-27,4.790605545043945
2011-07-28,4.790605545043945
2011-07-29,5.130263328552246
2011-08-01,5.130263328552246
2011-08-02,5.130263328552246
2011-08-03,5.130263328552246
2011-08-04,4.953359603881836
2011-08-05,4.953359603881836
2011-08-08,4.776454448699951
2011-08-09,4.599549293518066
2011-08-10,4.599549293518066
