Date,AGYS
2010-09-30,6.5
2010-10-01,6.650000095367432
2010-10-04,6.579999923706055
2010-10-05,6.900000095367432
2010-10-06,7.170000076293945
2010-10-07,7.130000114440918
2010-10-08,7.230000019073486
2010-10-11,7.099999904632568
2010-10-12,7.150000095367432
2010-10-13,7.179999828338623
2010-10-14,7.289999961853027
2010-10-15,7.389999866485596
2010-10-18,7.300000190734863
2010-10-19,7.190000057220459
2010-10-20,7.110000133514404
2010-10-21,6.940000057220459
2010-10-22,6.929999828338623
2010-10-25,6.809999942779541
2010-10-26,6.75
2010-10-27,6.340000152587891
2010-10-28,6.159999847412109
2010-10-29,6.0
2010-11-01,5.679999828338623
2010-11-02,6.119999885559082
2010-11-03,6.03000020980835
2010-11-04,6.050000190734863
2010-11-05,5.829999923706055
