Date,HIFS
2010-09-29,30.464200973510742
2010-09-30,30.080392837524414
2010-10-01,30.080392837524414
2010-10-04,30.184341430664062
2010-10-05,29.82452964782715
2010-10-06,29.85672378540039
2010-10-07,30.37980842590332
2010-10-08,30.556875228881836
2010-10-11,30.556875228881836
2010-10-12,30.50053596496582
2010-10-13,30.54077911376953
2010-10-14,30.54077911376953
2010-10-15,30.54077911376953
2010-10-18,30.669540405273438
2010-10-19,31.788148880004883
2010-10-20,31.015579223632812
2010-10-21,31.780094146728516
2010-10-22,31.780094146728516
2010-10-25,31.780094146728516
2010-10-26,31.50649642944336
2010-10-27,32.11811065673828
2010-10-28,32.38368606567383
2010-10-29,32.19054412841797
2010-11-01,32.01349639892578
2010-11-02,32.19054412841797
2010-11-03,31.788148880004883
