Date,EFSC
2010-09-28,6.8470845222473145
2010-09-29,7.074275970458984
2010-09-30,7.285797595977783
2010-10-01,7.089944362640381
2010-10-04,6.9410929679870605
2010-10-05,7.207453727722168
2010-10-06,7.183953285217285
2010-10-07,7.168285846710205
2010-10-08,7.2387919425964355
2010-10-11,7.089944362640381
2010-10-12,6.964595794677734
2010-10-13,7.097779750823975
2010-10-14,7.199621200561523
2010-10-15,7.042936325073242
2010-10-18,7.207453727722168
2010-10-19,7.097779750823975
2010-10-20,7.2387919425964355
2010-10-21,7.309300899505615
2010-10-22,8.171058654785156
2010-10-25,8.18673038482666
2010-10-26,8.178894996643066
2010-10-27,7.787186622619629
2010-10-28,7.583499431610107
2010-10-29,7.7323479652404785
2010-11-01,7.505156517028809
2010-11-02,7.724509239196777
