Date,BELFB
2010-09-29,16.83139991760254
2010-09-30,16.978187561035156
2010-10-01,17.092355728149414
2010-10-04,16.537824630737305
2010-10-05,18.242164611816406
2010-10-06,18.054609298706055
2010-10-07,17.214675903320312
2010-10-08,17.17389488220215
2010-10-11,17.13313102722168
2010-10-12,17.27991485595703
2010-10-13,17.65627098083496
2010-10-14,17.983543395996094
2010-10-15,17.566268920898438
2010-10-18,17.738101959228516
2010-10-19,17.239002227783203
2010-10-20,17.49264144897461
2010-10-21,17.165367126464844
2010-10-22,17.353546142578125
2010-10-25,17.50899887084961
2010-10-26,18.212635040283203
2010-10-27,17.378089904785156
2010-10-28,18.335357666015625
2010-10-29,18.662630081176758
2010-11-01,18.220813751220703
2010-11-02,18.850811004638672
2010-11-03,18.76081657409668
