Date,EFC
2020-10-08,7.309200763702393
2020-10-09,7.219996452331543
2020-10-12,7.2757487297058105
2020-10-13,7.180969715118408
2020-10-14,7.175392150878906
2020-10-15,7.314778804779053
2020-10-16,7.219996452331543
2020-10-19,7.1530914306640625
2020-10-20,7.21442174911499
2020-10-21,7.1307902336120605
2020-10-22,7.186546802520752
2020-10-23,7.325929164886475
2020-10-26,7.180969715118408
2020-10-27,7.069462299346924
2020-10-28,6.885481834411621
2020-10-29,6.964103698730469
2020-10-30,6.874244689941406
2020-11-02,7.256149768829346
2020-11-03,7.278614044189453
2020-11-04,7.256149768829346
2020-11-05,7.334773540496826
2020-11-06,7.278614044189453
2020-11-09,7.497647285461426
2020-11-10,7.772841930389404
2020-11-11,7.638055324554443
2020-11-12,7.548191070556641
2020-11-13,7.784074306488037
2020-11-16,8.11543083190918
2020-11-17,8.137895584106445
2020-11-18,8.154744148254395
2020-11-19,8.160357475280762
2020-11-20,8.154744148254395
2020-11-23,8.356925964355469
2020-11-24,8.575958251953125
2020-11-25,8.531027793884277
2020-11-27,8.412306785583496
2020-11-30,8.14094352722168
2020-12-01,8.270968437194824
2020-12-02,8.316201210021973
2020-12-03,8.344466209411621
2020-12-04,8.480147361755371
2020-12-07,8.378388404846191
2020-12-08,8.480147361755371
2020-12-09,8.440574645996094
2020-12-10,8.463189125061035
2020-12-11,8.502760887145996
2020-12-14,8.502760887145996
2020-12-15,8.655405044555664
2020-12-16,8.632790565490723
2020-12-17,8.615830421447754
2020-12-18,8.463189125061035
2020-12-21,8.474495887756348
2020-12-22,8.446227073669434
2020-12-23,8.564949035644531
2020-12-24,8.542337417602539
2020-12-28,8.615830421447754
2020-12-29,8.485801696777344
2020-12-30,8.440271377563477
2020-12-31,8.445960998535156
2021-01-04,8.309371948242188
2021-01-05,8.26384162902832
2021-01-06,8.565484046936035
2021-01-07,8.62808609008789
2021-01-08,8.622395515441895
2021-01-11,8.616703033447266
2021-01-12,8.673613548278809
2021-01-13,8.662235260009766
2021-01-14,8.702072143554688
2021-01-15,8.656543731689453
2021-01-19,8.770370483398438
2021-01-20,8.815901756286621
2021-01-21,8.986639976501465
2021-01-22,8.97525691986084
2021-01-25,8.946800231933594
2021-01-26,8.798829078674316
2021-01-27,8.582555770874023
2021-01-28,8.714332580566406
2021-01-29,8.571098327636719
2021-02-01,8.622663497924805
2021-02-02,8.811726570129395
2021-02-03,8.777355194091797
2021-02-04,8.886210441589355
2021-02-05,9.017983436584473
2021-02-08,9.035172462463379
2021-02-09,8.966419219970703
2021-02-10,8.995067596435547
2021-02-11,8.983610153198242
2021-02-12,9.086737632751465
2021-02-16,9.287263870239258
2021-02-17,9.121115684509277
2021-02-18,8.995067596435547
2021-02-19,9.14403247833252
2021-02-22,9.132575035095215
2021-02-23,9.161219596862793
2021-02-24,9.281536102294922
2021-02-25,9.004820823669434
2021-02-26,9.062467575073242
2021-03-01,9.200826644897461
2021-03-02,9.195061683654785
2021-03-03,9.200826644897461
2021-03-04,9.131647109985352
2021-03-05,9.120118141174316
2021-03-08,9.310359001159668
2021-03-09,9.35647964477539
2021-03-10,9.373773574829102
2021-03-11,9.4890718460083
2021-03-12,9.592840194702148
2021-03-15,9.679314613342285
2021-03-16,9.598607063293457
2021-03-17,9.771554946899414
2021-03-18,9.483308792114258
2021-03-19,9.402599334716797
2021-03-22,9.36224365234375
2021-03-23,9.29306411743164
2021-03-24,9.25270938873291
2021-03-25,9.316123962402344
2021-03-26,9.316123962402344
2021-03-29,9.270007133483887
2021-03-30,9.386024475097656
2021-03-31,9.287408828735352
2021-04-01,9.46143913269043
2021-04-05,9.902315139770508
2021-04-06,9.989326477050781
2021-04-07,10.186565399169922
2021-04-08,10.23877239227295
2021-04-09,10.192362785339355
2021-04-12,10.198166847229004
2021-04-13,10.163358688354492
2021-04-14,10.23877239227295
2021-04-15,10.290982246398926
2021-04-16,10.22716999053955
2021-04-19,10.15175724029541
2021-04-20,10.15175724029541
2021-04-21,10.325786590576172
2021-04-22,10.285181999206543
2021-04-23,10.546223640441895
2021-04-26,10.49401569366455
2021-04-27,10.65064525604248
2021-04-28,10.575228691101074
2021-04-29,10.52261734008789
2021-04-30,10.487542152404785
2021-05-03,10.46415901184082
2021-05-04,10.4056978225708
2021-05-05,10.4056978225708
2021-05-06,10.446622848510742
2021-05-07,10.616153717041016
2021-05-10,10.446622848510742
2021-05-11,10.984445571899414
2021-05-12,10.79152774810791
2021-05-13,10.990290641784668
2021-05-14,11.101356506347656
2021-05-17,11.276739120483398
2021-05-18,11.118904113769531
2021-05-19,11.107208251953125
2021-05-20,11.142282485961914
2021-05-21,11.095516204833984
2021-05-24,11.12474536895752
2021-05-25,10.990290641784668
2021-05-26,11.13643741607666
2021-05-27,11.0657320022583
2021-05-28,11.124650001525879
2021-06-01,11.195359230041504
2021-06-02,11.21303939819336
2021-06-03,11.160003662109375
2021-06-04,11.17179012298584
2021-06-07,11.342669486999512
2021-06-08,11.330881118774414
2021-06-09,11.3839111328125
2021-06-10,11.3839111328125
2021-06-11,11.324993133544922
2021-06-14,11.431048393249512
2021-06-15,11.266071319580078
2021-06-16,11.342669486999512
2021-06-17,11.095187187194824
2021-06-18,11.053943634033203
2021-06-21,11.236607551574707
2021-06-22,11.254283905029297
2021-06-23,11.27195930480957
2021-06-24,11.436941146850586
2021-06-25,11.454617500305176
2021-06-28,11.3839111328125
2021-06-29,11.342344284057617
2021-06-30,11.372038841247559
2021-07-01,11.419541358947754
2021-07-02,11.360158920288086
2021-07-06,11.21169662475586
2021-07-07,10.742566108703613
2021-07-08,10.683183670043945
2021-07-09,10.8197660446167
2021-07-12,10.831645965576172
2021-07-13,10.623795509338379
2021-07-14,10.499093055725098
2021-07-15,10.588168144226074
2021-07-16,10.784134864807129
2021-07-19,10.564417839050293
2021-07-20,10.760380744934082
2021-07-21,10.790074348449707
2021-07-22,10.724749565124512
2021-07-23,10.760380744934082
2021-07-26,10.8197660446167
2021-07-27,10.825702667236328
2021-07-28,10.813831329345703
2021-07-29,10.903646469116211
2021-07-30,10.885679244995117
2021-08-02,10.78388786315918
2021-08-03,10.897661209106445
2021-08-04,10.849752426147461
2021-08-05,10.849752426147461
2021-08-06,10.9994478225708
2021-08-09,10.861727714538574
2021-08-10,10.969511032104492
2021-08-11,10.927597999572754
2021-08-12,11.035374641418457
2021-08-13,11.077285766601562
2021-08-16,11.005434036254883
2021-08-17,11.041359901428223
2021-08-18,10.921607971191406
2021-08-19,10.81981372833252
2021-08-20,10.987470626831055
2021-08-23,11.029383659362793
2021-08-24,11.167106628417969
2021-08-25,11.191056251525879
2021-08-26,11.107224464416504
2021-08-27,11.209015846252441
2021-08-30,11.130547523498535
2021-08-31,11.17883586883545
2021-09-01,11.184876441955566
2021-09-02,11.209016799926758
2021-09-03,11.17883586883545
2021-09-07,11.02189826965332
2021-09-08,11.027935028076172
2021-09-09,11.148658752441406
2021-09-10,11.06414794921875
2021-09-13,11.172801971435547
2021-09-14,11.136587142944336
2021-09-15,11.22712516784668
2021-09-16,11.239201545715332
2021-09-17,11.046046257019043
2021-09-20,11.046046257019043
2021-09-21,11.040007591247559
2021-09-22,11.22712516784668
2021-09-23,11.251269340515137
2021-09-24,11.26333999633789
2021-09-27,11.3538818359375
