Date,GCI
2014-10-29,10.089974403381348
2014-10-30,10.973072052001953
2014-10-31,11.372849464416504
2014-11-03,11.211747169494629
2014-11-04,11.199811935424805
2014-11-05,11.319147109985352
2014-11-06,11.295280456542969
2014-11-07,11.295280456542969
2014-11-10,11.452666282653809
2014-11-11,11.452666282653809
2014-11-12,11.573731422424316
2014-11-13,11.537407875061035
2014-11-14,11.573731422424316
2014-11-17,11.501090049743652
2014-11-18,11.42240047454834
2014-11-19,11.150005340576172
2014-11-20,11.349760055541992
2014-11-21,12.082200050354004
2014-11-24,12.294059753417969
2014-11-25,12.106411933898926
2014-11-26,12.378804206848145
2014-11-28,12.300116539001465
2014-12-01,13.07492446899414
2014-12-02,12.978071212768555
2014-12-03,13.014392852783203
2014-12-04,12.984127044677734
