Date,UFPT
2010-10-07,11.949999809265137
2010-10-08,12.229999542236328
2010-10-11,12.779999732971191
2010-10-12,12.739999771118164
2010-10-13,12.850000381469727
2010-10-14,12.8100004196167
2010-10-15,12.960000038146973
2010-10-18,12.989999771118164
2010-10-19,12.670000076293945
2010-10-20,12.670000076293945
2010-10-21,12.539999961853027
2010-10-22,12.399999618530273
2010-10-25,12.130000114440918
2010-10-26,12.010000228881836
2010-10-27,12.0
2010-10-28,12.020000457763672
2010-10-29,11.949999809265137
2010-11-01,12.079999923706055
2010-11-02,12.149999618530273
2010-11-03,12.229999542236328
2010-11-04,11.729999542236328
2010-11-05,11.4399995803833
2010-11-08,10.960000038146973
2010-11-09,10.739999771118164
2010-11-10,11.34000015258789
2010-11-11,11.569999694824219
2010-11-12,11.149999618530273
2010-11-15,11.069999694824219
2010-11-16,10.890000343322754
2010-11-17,10.84000015258789
2010-11-18,11.170000076293945
2010-11-19,11.25
2010-11-22,11.0
2010-11-23,10.880000114440918
2010-11-24,11.029999732971191
2010-11-26,11.0
2010-11-29,11.220000267028809
2010-11-30,11.600000381469727
2010-12-01,11.279999732971191
2010-12-02,11.619999885559082
2010-12-03,11.920000076293945
2010-12-06,12.069999694824219
2010-12-07,11.800000190734863
2010-12-08,11.75
2010-12-09,11.949999809265137
2010-12-10,12.0
2010-12-13,12.100000381469727
2010-12-14,11.899999618530273
2010-12-15,11.970000267028809
2010-12-16,12.010000228881836
2010-12-17,12.0600004196167
2010-12-20,11.970000267028809
2010-12-21,12.25
2010-12-22,12.1899995803833
2010-12-23,12.069999694824219
2010-12-27,12.0
2010-12-28,11.9399995803833
2010-12-29,11.970000267028809
2010-12-30,11.9399995803833
2010-12-31,12.1899995803833
2011-01-03,13.010000228881836
2011-01-04,13.270000457763672
2011-01-05,13.930000305175781
2011-01-06,14.380000114440918
2011-01-07,14.300000190734863
2011-01-10,14.550000190734863
2011-01-11,14.710000038146973
2011-01-12,15.210000038146973
2011-01-13,15.430000305175781
2011-01-14,15.300000190734863
2011-01-18,15.199999809265137
2011-01-19,15.399999618530273
2011-01-20,15.350000381469727
2011-01-21,15.399999618530273
2011-01-24,15.59000015258789
2011-01-25,15.350000381469727
2011-01-26,15.869999885559082
2011-01-27,16.690000534057617
2011-01-28,16.350000381469727
2011-01-31,17.15999984741211
2011-02-01,18.049999237060547
2011-02-02,19.290000915527344
2011-02-03,17.979999542236328
2011-02-04,18.540000915527344
2011-02-07,19.06999969482422
2011-02-08,19.18000030517578
2011-02-09,19.399999618530273
2011-02-10,19.59000015258789
2011-02-11,20.510000228881836
2011-02-14,18.93000030517578
2011-02-15,19.510000228881836
2011-02-16,20.6200008392334
2011-02-17,20.969999313354492
2011-02-18,20.110000610351562
2011-02-22,18.299999237060547
2011-02-23,17.639999389648438
2011-02-24,17.309999465942383
2011-02-25,17.799999237060547
2011-02-28,18.049999237060547
2011-03-01,17.110000610351562
2011-03-02,16.93000030517578
2011-03-03,17.290000915527344
2011-03-04,16.989999771118164
2011-03-07,16.049999237060547
2011-03-08,16.299999237060547
2011-03-09,16.229999542236328
