Date,STT
2010-09-29,25.95748519897461
2010-09-30,26.1799373626709
2010-10-01,26.562278747558594
2010-10-04,26.096521377563477
2010-10-05,26.902915954589844
2010-10-06,27.13927459716797
2010-10-07,26.88205909729004
2010-10-08,27.104520797729492
2010-10-11,27.45903968811035
2010-10-12,27.570268630981445
2010-10-13,27.917848587036133
2010-10-14,27.695404052734375
2010-10-15,27.841379165649414
2010-10-18,28.647775650024414
2010-10-19,28.015167236328125
2010-10-20,28.17505645751953
2010-10-21,27.973466873168945
2010-10-22,28.08469581604004
2010-10-25,27.987375259399414
2010-10-26,28.487886428833008
2010-10-27,28.793760299682617
2010-10-28,28.5782527923584
2010-10-29,29.030120849609375
2010-11-01,29.037071228027344
2010-11-02,29.14829444885254
2010-11-03,29.391605377197266
2010-11-04,30.55253028869629
