Date,WST
2010-09-29,15.416072845458984
2010-09-30,15.452104568481445
2010-10-01,15.366528511047363
2010-10-04,15.078293800354004
2010-10-05,15.407061576843262
2010-10-06,15.53316593170166
2010-10-07,15.654763221740723
2010-10-08,15.812395095825195
2010-10-11,15.875447273254395
2010-10-12,15.947504043579102
2010-10-13,16.231237411499023
2010-10-14,16.298795700073242
2010-10-15,16.21322250366211
2010-10-18,16.27657127380371
2010-10-19,16.07294273376465
2010-10-20,16.2358455657959
2010-10-21,16.37612533569336
2010-10-22,16.335390090942383
2010-10-25,16.2991943359375
2010-10-26,16.308250427246094
2010-10-27,16.15892219543457
2010-10-28,16.281097412109375
2010-10-29,16.149871826171875
2010-11-01,16.2313232421875
2010-11-02,16.74265480041504
2010-11-03,17.208724975585938
2010-11-04,17.75625991821289
