Date,JBIO
2022-03-29,578.7529907226562
2022-03-30,611.8343505859375
2022-03-31,625.1350708007812
2022-04-01,542.2611694335938
2022-04-04,551.1283569335938
2022-04-05,568.5216674804688
2022-04-06,553.515625
2022-04-07,561.7007446289062
2022-04-08,568.1805419921875
2022-04-11,565.7932739257812
2022-04-12,566.81640625
2022-04-13,576.7066650390625
2022-04-14,574.3193969726562
2022-04-18,564.0880737304688
2022-04-19,572.6141967773438
2022-04-20,572.2731323242188
2022-04-21,508.83880615234375
2022-04-22,484.2835693359375
2022-04-25,501.6768493652344
2022-04-26,477.8037414550781
2022-04-27,478.144775390625
2022-04-28,475.0753479003906
2022-04-29,434.83209228515625
2022-05-02,446.0865478515625
2022-05-03,443.35821533203125
2022-05-04,447.7917785644531
2022-05-05,394.9298400878906
