Date,MOS
2010-09-29,46.7545280456543
2010-09-30,45.06718826293945
2010-10-01,45.72679138183594
2010-10-04,45.0902099609375
2010-10-05,46.631813049316406
2010-10-06,46.79287338256836
2010-10-07,47.19171142578125
2010-10-08,50.320953369140625
2010-10-11,51.103248596191406
2010-10-12,52.26905059814453
2010-10-13,52.200016021728516
2010-10-14,51.04188537597656
2010-10-15,52.4531135559082
2010-10-18,51.12626647949219
2010-10-19,49.36989974975586
2010-10-20,51.479087829589844
2010-10-21,51.01123046875
2010-10-22,50.58938980102539
2010-10-25,52.15400314331055
2010-10-26,54.79238510131836
2010-10-27,54.14811706542969
2010-10-28,53.98705291748047
2010-10-29,56.11156463623047
2010-11-01,55.47496795654297
2010-11-02,55.08356857299805
2010-11-03,54.02439498901367
2010-11-04,54.523292541503906
