Date,TTEK
2010-09-22,3.683845281600952
2010-09-23,3.612687826156616
2010-09-24,3.7185118198394775
2010-09-27,3.723987102508545
2010-09-28,3.7860231399536133
2010-09-29,3.829813241958618
2010-09-30,3.8261632919311523
2010-10-01,3.8663065433502197
2010-10-04,3.7732508182525635
2010-10-05,3.848057746887207
2010-10-06,3.829813241958618
2010-10-07,3.871779680252075
2010-10-08,3.900970220565796
2010-10-11,3.9027955532073975
2010-10-12,3.908268690109253
2010-10-13,4.0013251304626465
2010-10-14,3.9958510398864746
2010-10-15,3.979429244995117
2010-10-18,4.003148078918457
2010-10-19,3.891848087310791
2010-10-20,3.924691677093506
2010-10-21,3.8900246620178223
2010-10-22,3.891848087310791
2010-10-25,3.946587085723877
2010-10-26,3.9119200706481934
2010-10-27,3.848057746887207
