Date,AU
2011-01-07,37.43269729614258
2011-01-10,37.43269729614258
2011-01-11,37.733367919921875
2011-01-12,38.05073165893555
2011-01-13,37.05685806274414
2011-01-14,37.30742263793945
2011-01-18,37.66654586791992
2011-01-19,37.33247756958008
2011-01-20,37.257301330566406
2011-01-21,37.11533737182617
2011-01-24,37.048519134521484
2011-01-25,36.21332931518555
2011-01-26,37.30742263793945
2011-01-27,36.514007568359375
2011-01-28,36.02125549316406
2011-01-31,35.946075439453125
2011-02-01,37.23225784301758
2011-02-02,36.93994903564453
2011-02-03,37.92545700073242
2011-02-04,37.35753631591797
2011-02-07,37.56633377075195
2011-02-08,38.72722625732422
2011-02-09,37.97555923461914
2011-02-10,37.35753631591797
2011-02-11,37.39929962158203
2011-02-14,37.64148712158203
2011-02-15,38.34304428100586
2011-02-16,38.635353088378906
2011-02-17,39.503944396972656
2011-02-18,39.712730407714844
2011-02-22,39.98833465576172
2011-02-23,40.57296371459961
2011-02-24,40.28900909423828
2011-02-25,40.50615692138672
2011-02-28,40.79011535644531
2011-03-01,40.96550369262695
2011-03-02,41.591888427734375
2011-03-03,41.17430114746094
2011-03-04,39.96330261230469
2011-03-07,39.77119445800781
2011-03-08,39.77119445800781
2011-03-09,39.76199722290039
2011-03-10,38.07106399536133
2011-03-11,39.37691879272461
2011-03-14,39.37691879272461
2011-03-15,38.556575775146484
2011-03-16,36.64799880981445
2011-03-17,36.865638732910156
2011-03-18,37.03306579589844
2011-03-21,37.67762756347656
2011-03-22,37.861785888671875
2011-03-23,38.88303756713867
2011-03-24,38.933258056640625
2011-03-25,39.050453186035156
2011-03-28,38.556575775146484
2011-03-29,38.52308654785156
2011-03-30,39.61968994140625
2011-03-31,40.1386833190918
2011-04-01,40.892066955566406
2011-04-04,40.73302459716797
2011-04-05,42.12259292602539
2011-04-06,42.306758880615234
2011-04-07,41.41943359375
2011-04-08,42.76715850830078
2011-04-11,41.226905822753906
2011-04-12,40.95904541015625
2011-04-13,40.94228744506836
2011-04-14,41.23527526855469
2011-04-15,41.268760681152344
2011-04-18,40.59907913208008
2011-04-19,41.03437423706055
2011-04-20,41.63709259033203
2011-04-21,41.837989807128906
2011-04-25,41.545013427734375
2011-04-26,41.335731506347656
2011-04-27,41.74589920043945
2011-04-28,41.32735061645508
2011-04-29,42.675071716308594
2011-05-02,42.18119430541992
2011-05-03,40.331214904785156
2011-05-04,40.17216110229492
2011-05-05,38.313819885253906
2011-05-06,38.2133674621582
2011-05-09,38.84955978393555
2011-05-10,38.07106399536133
2011-05-11,37.535308837890625
2011-05-12,37.217220306396484
2011-05-13,36.50568771362305
2011-05-16,37.11677169799805
2011-05-17,37.778076171875
2011-05-18,37.84503936767578
2011-05-19,38.17988967895508
2011-05-20,38.33892822265625
2011-05-23,37.25070571899414
2011-05-24,37.85341262817383
2011-05-25,37.67762756347656
2011-05-26,37.292564392089844
2011-05-27,38.08779525756836
2011-05-31,38.472862243652344
2011-06-01,37.84503936767578
2011-06-02,37.66924285888672
2011-06-03,38.037574768066406
2011-06-06,36.606143951416016
2011-06-07,36.72334289550781
2011-06-08,36.06203079223633
2011-06-09,36.69822692871094
2011-06-10,35.936466217041016
2011-06-13,35.58488464355469
2011-06-14,36.162479400634766
2011-06-15,35.81925964355469
2011-06-16,35.13285827636719
2011-06-17,35.24168014526367
2011-06-20,35.258419036865234
2011-06-21,35.86949157714844
2011-06-22,35.71882629394531
2011-06-23,34.70594024658203
2011-06-24,33.58423614501953
2011-06-27,33.40843963623047
2011-06-28,34.538516998291016
2011-06-29,35.06589126586914
2011-06-30,35.23331069946289
2011-07-01,34.471553802490234
2011-07-05,35.007293701171875
2011-07-06,35.55977249145508
2011-07-07,35.81925964355469
2011-07-08,35.459327697753906
2011-07-11,34.75617218017578
2011-07-12,35.75230407714844
2011-07-13,36.64799880981445
2011-07-14,36.63962173461914
2011-07-15,36.7149658203125
2011-07-18,37.87016296386719
2011-07-19,37.17536544799805
2011-07-20,37.04979705810547
2011-07-21,37.125152587890625
2011-07-22,37.2255973815918
2011-07-25,36.68985366821289
2011-07-26,36.51405715942383
2011-07-27,35.827640533447266
2011-07-28,35.291908264160156
2011-07-29,35.10774230957031
2011-08-01,35.383995056152344
2011-08-02,36.23781967163086
2011-08-03,36.68985366821289
2011-08-04,35.21656799316406
2011-08-05,34.998924255371094
2011-08-08,35.16633224487305
2011-08-09,35.877872467041016
2011-08-10,37.108402252197266
2011-08-11,38.33892822265625
2011-08-12,36.68148422241211
2011-08-15,38.06269454956055
2011-08-16,38.037574768066406
2011-08-17,38.665401458740234
2011-08-18,37.46834182739258
2011-08-19,38.372413635253906
2011-08-22,38.65702819824219
2011-08-23,36.832149505615234
2011-08-24,36.43035888671875
2011-08-25,37.27581787109375
2011-08-26,37.54368209838867
2011-08-29,37.141876220703125
2011-08-30,37.46834182739258
2011-08-31,37.66143798828125
2011-09-01,38.25750732421875
2011-09-02,38.20713424682617
2011-09-06,38.63529586791992
2011-09-07,38.83678436279297
2011-09-08,39.197792053222656
2011-09-09,39.56718063354492
2011-09-12,38.18195724487305
2011-09-13,38.70246124267578
2011-09-14,37.87971878051758
2011-09-15,38.803218841552734
2011-09-16,39.97854995727539
2011-09-19,39.27334213256836
2011-09-20,40.30596923828125
2011-09-21,39.550384521484375
2011-09-22,37.208091735839844
2011-09-23,36.3014030456543
2011-09-26,36.83030700683594
2011-09-27,36.52806854248047
2011-09-28,34.446041107177734
2011-09-29,34.98333740234375
2011-09-30,34.72307205200195
2011-10-03,34.16898727416992
2011-10-04,33.75761795043945
2011-10-05,35.058895111083984
2011-10-06,34.81542205810547
2011-10-07,33.883541107177734
2011-10-10,34.555171966552734
2011-10-11,34.320098876953125
2011-10-12,35.04210662841797
2011-10-13,34.890987396240234
2011-10-14,35.671756744384766
2011-10-17,35.61298751831055
2011-10-18,35.428279876708984
2011-10-19,34.219356536865234
2011-10-20,33.304264068603516
2011-10-21,34.488006591796875
2011-10-24,35.89002990722656
2011-10-25,36.628822326660156
2011-10-26,36.91425704956055
2011-10-27,38.30788040161133
2011-10-28,39.709903717041016
2011-10-31,37.95527267456055
2011-11-01,38.03923034667969
2011-11-02,38.08960723876953
2011-11-03,39.81904602050781
2011-11-04,39.65953826904297
2011-11-07,40.71734619140625
2011-11-08,40.27238464355469
2011-11-09,39.374088287353516
2011-11-10,39.65953826904297
2011-11-11,40.994388580322266
2011-11-14,39.49162292480469
2011-11-15,39.785465240478516
2011-11-16,39.06346130371094
2011-11-17,38.25750732421875
2011-11-18,37.89651107788086
2011-11-21,36.964630126953125
2011-11-22,37.21649169921875
2011-11-23,36.35177230834961
2011-11-25,36.08311462402344
2011-11-28,37.18290710449219
2011-11-29,37.040191650390625
2011-11-30,40.36187744140625
2011-12-01,40.749000549316406
2011-12-02,39.570796966552734
2011-12-05,39.099517822265625
2011-12-06,39.41089630126953
2011-12-07,39.276248931884766
2011-12-08,38.09804153442383
2011-12-09,38.40100860595703
2011-12-12,37.44161605834961
2011-12-13,36.212913513183594
2011-12-14,35.90995407104492
2011-12-15,34.70650100708008
2011-12-16,34.62234115600586
2011-12-19,34.48769760131836
2011-12-20,35.83422088623047
2011-12-21,35.63223648071289
2011-12-22,35.68273162841797
2011-12-23,35.851036071777344
2011-12-27,35.707977294921875
2011-12-28,34.57184600830078
2011-12-29,35.2451171875
2011-12-30,35.724815368652344
2012-01-03,36.90301513671875
2012-01-04,36.55795669555664
2012-01-05,36.667362213134766
2012-01-06,36.658966064453125
2012-01-09,36.33916473388672
2012-01-10,36.44014358520508
2012-01-11,36.414894104003906
2012-01-12,36.76835632324219
2012-01-13,36.204505920410156
2012-01-17,37.13023376464844
2012-01-18,37.48369216918945
2012-01-19,36.59163284301758
2012-01-20,36.62529754638672
2012-01-23,37.037654876708984
2012-01-24,36.44856262207031
2012-01-25,37.42478561401367
2012-01-26,37.92131042480469
2012-01-27,38.914363861083984
2012-01-30,38.45150375366211
2012-01-31,38.5440788269043
2012-02-01,38.73763656616211
2012-02-02,39.32674026489258
2012-02-03,39.1416015625
2012-02-06,38.56090545654297
2012-02-07,38.10646438598633
2012-02-08,38.266357421875
2012-02-09,38.65348434448242
2012-02-10,37.96339797973633
2012-02-13,38.089630126953125
2012-02-14,37.70250701904297
2012-02-15,36.28866195678711
2012-02-16,35.893131256103516
2012-02-17,35.69956588745117
2012-02-21,36.212913513183594
2012-02-22,36.490631103515625
2012-02-23,36.32231521606445
2012-02-24,36.22134017944336
2012-02-27,35.859458923339844
2012-02-28,36.60004806518555
2012-02-29,35.724815368652344
2012-03-01,35.758480072021484
2012-03-02,34.70650100708008
2012-03-05,34.46244812011719
2012-03-06,33.55354690551758
2012-03-07,34.20408248901367
2012-03-08,34.119384765625
2012-03-09,33.873741149902344
2012-03-12,33.58573532104492
2012-03-13,33.45020294189453
2012-03-14,32.14574432373047
2012-03-15,32.543861389160156
2012-03-16,32.67938995361328
2012-03-19,32.188087463378906
2012-03-20,32.20503616333008
2012-03-21,32.08645248413086
2012-03-22,31.468095779418945
2012-03-23,31.90009307861328
2012-03-26,32.74715805053711
2012-03-27,32.34056854248047
2012-03-28,30.89210319519043
2012-03-29,31.078453063964844
2012-03-30,31.273271560668945
2012-04-02,31.25633430480957
2012-04-03,30.519397735595703
2012-04-04,29.096336364746094
2012-04-05,28.893049240112305
2012-04-09,28.85917091369629
2012-04-10,28.25775718688965
2012-04-11,28.46105194091797
2012-04-12,29.053987503051758
2012-04-13,28.808340072631836
2012-04-16,28.33399772644043
2012-04-17,28.469520568847656
2012-04-18,28.46105194091797
2012-04-19,28.232351303100586
2012-04-20,27.842702865600586
2012-04-23,27.85116958618164
2012-04-24,27.94434928894043
2012-04-25,28.867639541625977
2012-04-26,29.12175750732422
2012-04-27,29.037050247192383
2012-04-30,29.12175750732422
2012-05-01,29.274227142333984
2012-05-02,28.630462646484375
2012-05-03,27.757993698120117
2012-05-04,28.15611457824707
2012-05-07,28.079883575439453
2012-05-08,27.50387954711914
2012-05-09,27.554704666137695
2012-05-10,28.85917091369629
2012-05-11,28.35940170288086
2012-05-14,27.29212188720703
2012-05-15,26.09777069091797
2012-05-16,26.817764282226562
2012-05-17,27.554704666137695
2012-05-18,29.037050247192383
2012-05-21,29.706220626831055
2012-05-22,29.833282470703125
2012-05-23,30.96833610534668
2012-05-24,30.849746704101562
2012-05-25,30.646453857421875
2012-05-29,30.35845375061035
2012-05-30,30.197826385498047
2012-05-31,30.648283004760742
2012-06-01,31.328222274780273
2012-06-04,32.02516555786133
2012-06-05,31.787172317504883
2012-06-06,32.05066680908203
2012-06-07,30.903257369995117
2012-06-08,30.835256576538086
2012-06-11,30.60578155517578
2012-06-12,31.294219970703125
2012-06-13,30.954248428344727
2012-06-14,30.911760330200195
2012-06-15,31.31122589111328
2012-06-18,31.345211029052734
2012-06-19,31.55769920349121
2012-06-20,31.421709060668945
2012-06-21,29.840850830078125
2012-06-22,29.245908737182617
2012-06-25,29.543373107910156
2012-06-26,29.313901901245117
2012-06-27,29.024925231933594
2012-06-28,28.81244468688965
2012-06-29,29.186410903930664
2012-07-02,28.506471633911133
2012-07-03,29.143911361694336
2012-07-05,29.07592010498047
2012-07-06,28.20899772644043
2012-07-09,28.098506927490234
2012-07-10,27.656545639038086
2012-07-11,27.537559509277344
2012-07-12,27.52056121826172
2012-07-13,27.775537490844727
2012-07-16,27.80103302001953
2012-07-17,27.342073440551758
2012-07-18,26.636638641357422
2012-07-19,26.3476619720459
2012-07-20,27.002105712890625
2012-07-23,27.121089935302734
2012-07-24,27.189090728759766
2012-07-25,28.158002853393555
2012-07-26,28.64246368408203
2012-07-27,29.543373107910156
2012-07-30,29.560375213623047
2012-07-31,28.905929565429688
2012-08-01,28.7784423828125
2012-08-02,28.565961837768555
2012-08-03,28.803945541381836
2012-08-06,29.29689598083496
2012-08-07,29.407386779785156
2012-08-08,28.727453231811523
2012-08-09,28.982431411743164
2012-08-10,29.4158935546875
2012-08-13,29.51788330078125
2012-08-14,28.820941925048828
2012-08-15,28.83794593811035
2012-08-16,30.061826705932617
2012-08-17,29.39038848876953
2012-08-20,29.160917282104492
2012-08-21,29.211904525756836
2012-08-22,29.543373107910156
2012-08-23,28.625463485717773
2012-08-24,28.54047203063965
2012-08-27,27.435562133789062
2012-08-28,26.95960807800293
2012-08-29,26.561986923217773
2012-08-30,26.587589263916016
2012-08-31,27.2189998626709
2012-09-04,26.809431076049805
2012-09-05,27.500577926635742
2012-09-06,28.4050350189209
2012-09-07,29.164432525634766
2012-09-10,28.84019660949707
2012-09-11,29.266826629638672
2012-09-12,29.087642669677734
2012-09-13,30.205413818359375
2012-09-14,30.538177490234375
2012-09-17,30.95627212524414
2012-09-18,31.49382781982422
2012-09-19,31.331716537475586
2012-09-20,30.973342895507812
2012-09-21,31.237857818603516
2012-09-24,30.96480941772461
2012-09-25,30.35900115966797
2012-09-26,29.39482307434082
2012-09-27,29.923828125
2012-09-28,29.90677261352539
2012-10-01,30.10301971435547
2012-10-02,29.505733489990234
2012-10-03,28.16611671447754
2012-10-04,28.217317581176758
2012-10-05,28.473295211791992
2012-10-08,28.857261657714844
2012-10-09,28.84019660949707
2012-10-10,29.104700088500977
2012-10-11,29.335084915161133
2012-10-12,29.249757766723633
2012-10-15,29.06204605102539
2012-10-16,29.753185272216797
2012-10-17,29.81291389465332
2012-10-18,27.79068374633789
