Date,MCHP
2010-09-29,10.856633186340332
2010-09-30,10.818796157836914
2010-10-01,10.805031776428223
2010-10-04,10.749991416931152
2010-10-05,10.808472633361816
2010-10-06,10.633033752441406
2010-10-07,10.612394332885742
2010-10-08,10.653674125671387
2010-10-11,10.691513061523438
2010-10-12,10.715593338012695
2010-10-13,10.481672286987305
2010-10-14,10.47823429107666
2010-10-15,10.663994789123535
2010-10-18,10.622713088989258
2010-10-19,10.512633323669434
2010-10-20,10.574552536010742
2010-10-21,10.553911209106445
2010-10-22,10.784392356872559
2010-10-25,10.842874526977539
2010-10-26,10.811917304992676
2010-10-27,11.063036918640137
2010-10-28,11.035515785217285
2010-10-29,11.069915771484375
2010-11-01,11.02519416809082
2010-11-02,11.169672966003418
2010-11-03,11.307270050048828
