Date,HBAN
2010-09-21,3.539483070373535
2010-09-22,3.4557783603668213
2010-09-23,3.366095781326294
2010-09-24,3.4916515350341797
2010-09-27,3.4318623542785645
2010-09-28,3.4199039936065674
2010-09-29,3.3720734119415283
2010-09-30,3.4019670486450195
2010-10-01,3.413926601409912
2010-10-04,3.407947301864624
2010-10-05,3.551438808441162
2010-10-06,3.521545648574829
2010-10-07,3.527524709701538
2010-10-08,3.5036094188690186
2010-10-11,3.4796929359436035
2010-10-12,3.551438808441162
2010-10-13,3.5155673027038574
2010-10-14,3.425884485244751
2010-10-15,3.4019670486450195
2010-10-18,3.4318623542785645
2010-10-19,3.425884485244751
2010-10-20,3.3481600284576416
2010-10-21,3.3601162433624268
2010-10-22,3.4019670486450195
2010-10-25,3.3780529499053955
