Date,SPTN
2010-09-29,9.300567626953125
2010-09-30,9.192791938781738
2010-10-01,9.085012435913086
2010-10-04,9.059648513793945
2010-10-05,9.211811065673828
2010-10-06,9.351285934448242
2010-10-07,9.186450004577637
2010-10-08,9.414685249328613
2010-10-11,9.281549453735352
2010-10-12,9.402005195617676
2010-10-13,9.636581420898438
2010-10-14,10.41004467010498
2010-10-15,10.13109016418457
2010-10-18,10.232529640197754
2010-10-19,9.820438385009766
2010-10-20,10.035992622375488
2010-10-21,9.921873092651367
2010-10-22,9.744357109069824
2010-10-25,9.782400131225586
2010-10-26,9.826780319213867
2010-10-27,9.72533893585205
2010-10-28,9.566847801208496
2010-10-29,9.478084564208984
2010-11-01,9.199131965637207
2010-11-02,9.915534973144531
2010-11-03,9.7697172164917
