Date,EVLV
2021-06-24,10.0
2021-06-25,10.020000457763672
2021-06-28,9.989999771118164
2021-06-29,10.0600004196167
2021-06-30,10.029999732971191
2021-07-01,10.069999694824219
2021-07-02,10.039999961853027
2021-07-06,10.020000457763672
2021-07-07,9.979999542236328
2021-07-08,9.989999771118164
2021-07-09,9.984999656677246
2021-07-12,9.75
2021-07-13,9.829999923706055
2021-07-14,10.010000228881836
2021-07-15,9.369999885559082
2021-07-16,9.550000190734863
2021-07-19,10.399999618530273
2021-07-20,10.300000190734863
2021-07-21,9.630000114440918
2021-07-22,8.8100004196167
2021-07-23,10.699999809265137
2021-07-26,10.020000457763672
2021-07-27,9.119999885559082
2021-07-28,8.210000038146973
2021-07-29,8.3100004196167
2021-07-30,8.130000114440918
2021-08-02,7.920000076293945
