Date,A
2010-09-22,19.587751388549805
2010-09-23,19.460399627685547
2010-09-24,20.4346923828125
2010-09-27,20.37737464904785
2010-09-28,20.59388542175293
2010-09-29,20.746715545654297
2010-09-30,21.249786376953125
2010-10-01,21.479026794433594
2010-10-04,20.753087997436523
2010-10-05,21.03964614868164
2010-10-06,20.804031372070312
2010-10-07,21.141530990600586
2010-10-08,21.523601531982422
2010-10-11,21.491764068603516
2010-10-12,21.447181701660156
2010-10-13,21.848363876342773
2010-10-14,21.797428131103516
2010-10-15,21.956619262695312
2010-10-18,22.07124900817871
2010-10-19,21.6637020111084
2010-10-20,22.07124900817871
2010-10-21,22.128551483154297
2010-10-22,22.128551483154297
2010-10-25,22.22407341003418
2010-10-26,22.16039276123047
2010-10-27,22.026662826538086
2010-10-28,22.236818313598633
2010-10-29,22.16039276123047
2010-11-01,22.128551483154297
2010-11-02,22.32596206665039
2010-11-03,22.357807159423828
2010-11-04,22.918184280395508
