Date,RL
2010-09-29,70.13053131103516
2010-09-30,69.95148468017578
2010-10-01,70.30179595947266
2010-10-04,71.03355407714844
2010-10-05,72.36468505859375
2010-10-06,71.32935333251953
2010-10-07,70.90122985839844
2010-10-08,72.32579803466797
2010-10-11,72.95630645751953
2010-10-12,72.95630645751953
2010-10-13,73.48566436767578
2010-10-14,73.2287826538086
2010-10-15,74.16291809082031
2010-10-18,74.46650695800781
2010-10-19,72.50480651855469
2010-10-20,72.87846374511719
2010-10-21,72.51258850097656
2010-10-22,73.19762420654297
2010-10-25,73.82039642333984
2010-10-26,75.11262512207031
2010-10-27,73.42339324951172
2010-10-28,73.11200714111328
2010-10-29,75.41619873046875
2010-11-01,75.08928680419922
2010-11-02,75.50961303710938
2010-11-03,75.22157287597656
2010-11-04,77.32342529296875
