Date,ETR
2016-10-17,26.276613235473633
2016-10-18,26.378707885742188
2016-10-19,26.36461639404297
2016-10-20,26.23084259033203
2016-10-21,26.111148834228516
2016-10-24,26.075942993164062
2016-10-25,25.51618766784668
2016-10-26,25.44577980041504
2016-10-27,25.304969787597656
2016-10-28,25.473953247070312
2016-10-31,25.938650131225586
2016-11-01,25.322572708129883
2016-11-02,25.143024444580078
2016-11-03,25.132457733154297
2016-11-04,24.931798934936523
2016-11-07,25.174715042114258
2016-11-08,25.563161849975586
2016-11-09,24.536781311035156
2016-11-10,24.18754005432129
2016-11-11,24.023601531982422
2016-11-14,24.24455451965332
2016-11-15,24.458383560180664
2016-11-16,24.276628494262695
2016-11-17,24.29801368713379
2016-11-18,24.17327880859375
2016-11-21,24.383546829223633
2016-11-22,24.379981994628906
2016-11-23,24.276628494262695
2016-11-25,24.779130935668945
2016-11-28,25.153331756591797
2016-11-29,25.445554733276367
2016-11-30,24.49402618408203
2016-12-01,24.5474853515625
2016-12-02,24.690031051635742
2016-12-05,24.725664138793945
2016-12-06,24.68290901184082
2016-12-07,25.103437423706055
2016-12-08,25.09275245666504
2016-12-09,25.217477798461914
2016-12-12,25.50257110595703
2016-12-13,25.91954231262207
2016-12-14,25.541784286499023
2016-12-15,25.798372268676758
2016-12-16,26.076353073120117
2016-12-19,26.07992172241211
2016-12-20,26.097736358642578
2016-12-21,25.980127334594727
2016-12-22,26.07992172241211
2016-12-23,25.9765625
2016-12-27,26.019330978393555
2016-12-28,25.65582275390625
2016-12-29,26.193952560424805
2016-12-30,26.18326759338379
2017-01-03,25.994380950927734
2017-01-04,26.108428955078125
2017-01-05,26.01577377319336
2017-01-06,26.101299285888672
2017-01-09,25.3350830078125
2017-01-10,25.388538360595703
2017-01-11,25.552474975585938
2017-01-12,25.598800659179688
2017-01-13,25.509708404541016
2017-01-17,25.70928192138672
2017-01-18,25.620187759399414
2017-01-19,25.331518173217773
2017-01-20,25.363595962524414
2017-01-23,25.18897247314453
2017-01-24,25.103437423706055
2017-01-25,25.153331756591797
2017-01-26,25.135507583618164
2017-01-27,25.142641067504883
2017-01-30,25.164020538330078
2017-01-31,25.531091690063477
2017-02-01,25.203218460083008
2017-02-02,25.459819793701172
2017-02-03,25.59524154663086
2017-02-06,25.541784286499023
2017-02-07,25.498498916625977
2017-02-08,25.75823211669922
2017-02-09,25.613937377929688
2017-02-10,25.841209411621094
2017-02-13,25.960264205932617
2017-02-14,25.538171768188477
2017-02-15,25.530956268310547
2017-02-16,26.252477645874023
2017-02-17,26.53386878967285
2017-02-21,26.663742065429688
2017-02-22,26.591588973999023
2017-02-23,27.10747718811035
2017-02-24,27.345582962036133
2017-02-27,27.230133056640625
2017-02-28,27.655839920043945
2017-03-01,27.26622200012207
2017-03-02,27.251789093017578
2017-03-03,27.194061279296875
2017-03-06,27.046154022216797
2017-03-07,27.05697250366211
2017-03-08,26.44008445739746
2017-03-09,26.389562606811523
2017-03-10,26.555524826049805
2017-03-13,26.725072860717773
2017-03-14,26.645706176757812
2017-03-15,27.12190818786621
2017-03-16,27.038938522338867
2017-03-17,27.20488739013672
2017-03-20,27.129131317138672
2017-03-21,27.33115005493164
2017-03-22,27.605323791503906
2017-03-23,27.645008087158203
2017-03-24,27.709945678710938
2017-03-27,27.59090232849121
2017-03-28,27.601716995239258
2017-03-29,27.486278533935547
2017-03-30,27.363622665405273
2017-03-31,27.403305053710938
2017-04-03,27.305898666381836
2017-04-04,27.349180221557617
2017-04-05,27.464635848999023
2017-04-06,27.374441146850586
2017-04-07,27.399686813354492
2017-04-10,27.363622665405273
2017-04-11,27.63418197631836
2017-04-12,27.807348251342773
2017-04-13,27.774890899658203
2017-04-17,27.825389862060547
2017-04-18,27.73880386352539
2017-04-19,27.547607421875
2017-04-20,27.345582962036133
2017-04-21,27.56564712524414
2017-04-24,27.58367919921875
2017-04-25,27.673870086669922
2017-04-26,27.41413116455078
2017-04-27,27.663047790527344
2017-04-28,27.51153564453125
2017-05-01,27.345582962036133
2017-05-02,27.51153564453125
2017-05-03,27.57647132873535
2017-05-04,27.61975860595703
2017-05-05,27.908367156982422
2017-05-08,27.828994750976562
2017-05-09,27.449533462524414
2017-05-10,27.613725662231445
2017-05-11,27.504257202148438
2017-05-12,27.62101936340332
2017-05-15,27.65751075744629
2017-05-16,27.416690826416016
2017-05-17,27.504257202148438
2017-05-18,27.646570205688477
2017-05-19,27.61737823486328
2017-05-22,27.861833572387695
2017-05-23,27.934814453125
2017-05-24,28.10265350341797
2017-05-25,28.409147262573242
2017-05-26,28.33252716064453
2017-05-30,28.547801971435547
2017-05-31,28.846996307373047
2017-06-01,29.14255142211914
2017-06-02,29.277551651000977
2017-06-05,29.237422943115234
2017-06-06,29.20093536376953
2017-06-07,29.354169845581055
2017-06-08,28.93821907043457
2017-06-09,28.927276611328125
2017-06-12,28.879844665527344
2017-06-13,28.963760375976562
2017-06-14,28.978357315063477
2017-06-15,29.20093536376953
2017-06-16,29.193632125854492
2017-06-19,29.007537841796875
2017-06-20,29.095121383666992
2017-06-21,28.96011734008789
2017-06-22,28.89443016052246
2017-06-23,28.821447372436523
2017-06-26,29.10606575012207
2017-06-27,28.507661819458008
2017-06-28,28.398202896118164
2017-06-29,28.05156898498535
2017-06-30,28.011436462402344
2017-07-03,27.901975631713867
2017-07-05,27.71588897705078
2017-07-06,27.555339813232422
2017-07-07,27.653858184814453
2017-07-10,27.478713989257812
2017-07-11,27.43128776550293
2017-07-12,27.61737823486328
2017-07-13,27.38750457763672
2017-07-14,27.54439353942871
2017-07-17,27.588184356689453
2017-07-18,27.599124908447266
2017-07-19,27.69399070739746
2017-07-20,27.901975631713867
2017-07-21,28.161035537719727
2017-07-24,27.843599319458008
2017-07-25,27.51885986328125
2017-07-26,27.599124908447266
2017-07-27,27.78521728515625
2017-07-28,27.821699142456055
2017-07-31,27.993192672729492
2017-08-01,28.150083541870117
2017-08-02,27.923864364624023
2017-08-03,28.04428482055664
2017-08-04,28.05156898498535
2017-08-07,27.945756912231445
2017-08-08,28.60270118713379
2017-08-09,28.34803009033203
2017-08-10,28.359115600585938
2017-08-11,28.122913360595703
2017-08-14,28.436620712280273
2017-08-15,28.628538131713867
2017-08-16,28.83152198791504
2017-08-17,28.62114906311035
2017-08-18,28.728181838989258
2017-08-21,28.879493713378906
2017-08-22,29.008668899536133
2017-08-23,29.21903419494629
2017-08-24,29.15260124206543
2017-08-25,29.470012664794922
2017-08-28,29.466327667236328
2017-08-29,29.470012664794922
2017-08-30,29.29654884338379
2017-08-31,29.21903419494629
2017-09-01,29.252260208129883
2017-09-05,29.447860717773438
2017-09-06,29.05665397644043
2017-09-07,29.237497329711914
2017-09-08,29.455242156982422
2017-09-11,29.650846481323242
2017-09-12,29.171062469482422
2017-09-13,28.87212562561035
2017-09-14,29.207969665527344
2017-09-15,29.10831642150879
2017-09-18,28.923784255981445
2017-09-19,28.805686950683594
2017-09-20,28.713417053222656
2017-09-21,28.7724666595459
2017-09-22,28.325904846191406
2017-09-25,28.69866371154785
2017-09-26,28.58424949645996
2017-09-27,28.218870162963867
2017-09-28,28.174583435058594
2017-09-29,28.181961059570312
2017-10-02,28.2041072845459
2017-10-03,27.93100357055664
2017-10-04,28.93855094909668
2017-10-05,29.18951416015625
2017-10-06,29.02712059020996
2017-10-09,29.104644775390625
2017-10-10,29.392499923706055
2017-10-11,29.6545352935791
2017-10-12,30.18968963623047
2017-10-13,30.370540618896484
2017-10-16,30.783889770507812
2017-10-17,31.22307586669922
2017-10-18,31.245223999023438
2017-10-19,31.503572463989258
2017-10-20,31.614288330078125
2017-10-23,31.455596923828125
2017-10-24,31.73238754272461
2017-10-25,31.86525535583496
2017-10-26,31.806201934814453
2017-10-27,32.02395248413086
2017-10-30,31.88370132446289
2017-10-31,31.835725784301758
2017-11-01,31.61798095703125
2017-11-02,31.975976943969727
2017-11-03,32.10884094238281
2017-11-06,31.87263298034668
2017-11-07,32.053470611572266
2017-11-08,32.15787887573242
2017-11-09,32.22499084472656
2017-11-10,31.743961334228516
2017-11-13,32.307044982910156
2017-11-14,32.597896575927734
2017-11-15,32.22873306274414
2017-11-16,32.03110885620117
2017-11-17,32.258567810058594
2017-11-20,31.93788719177246
2017-11-21,31.9229679107666
2017-11-22,31.88567543029785
2017-11-24,31.833473205566406
2017-11-27,32.09822463989258
