Date,ACDC
2023-02-15,20.899999618530273
2023-02-16,21.270000457763672
2023-02-17,21.219999313354492
2023-02-21,19.389999389648438
2023-02-22,19.260000228881836
2023-02-23,19.18000030517578
2023-02-24,19.670000076293945
2023-02-27,19.350000381469727
2023-02-28,19.1299991607666
2023-03-01,19.309999465942383
2023-03-02,20.260000228881836
2023-03-03,21.31999969482422
2023-03-06,21.299999237060547
2023-03-07,20.649999618530273
2023-03-08,20.56999969482422
2023-03-09,18.790000915527344
2023-03-10,17.940000534057617
2023-03-13,16.170000076293945
2023-03-14,16.010000228881836
2023-03-15,14.470000267028809
2023-03-16,15.170000076293945
2023-03-17,14.420000076293945
2023-03-20,14.670000076293945
2023-03-21,11.930000305175781
2023-03-22,11.5
2023-03-23,11.039999961853027
2023-03-24,11.09000015258789
