Date,WTW
2016-11-25,110.79012298583984
2016-11-28,109.96782684326172
2016-11-29,109.97665405273438
2016-11-30,109.96782684326172
2016-12-01,107.35942840576172
2016-12-02,106.05082702636719
2016-12-05,107.4124755859375
2016-12-06,110.31267547607422
2016-12-07,110.30380249023438
2016-12-08,108.75645446777344
2016-12-09,108.57077026367188
2016-12-12,107.17374420166016
2016-12-13,110.04740142822266
2016-12-14,108.10215759277344
2016-12-15,108.19943237304688
2016-12-16,108.1640625
2016-12-19,109.3134994506836
2016-12-20,109.49918365478516
2016-12-21,108.74762725830078
2016-12-22,108.62382507324219
2016-12-23,110.07392120361328
2016-12-27,109.88822174072266
2016-12-28,108.62781524658203
2016-12-29,108.44142150878906
2016-12-30,108.5390396118164
2017-01-03,109.39115905761719
2017-01-04,110.7403793334961
2017-01-05,111.80553436279297
2017-01-06,112.53337860107422
2017-01-09,111.84991455078125
2017-01-10,112.03629302978516
2017-01-11,111.61909484863281
2017-01-12,111.60137176513672
2017-01-13,110.71372985839844
2017-01-17,111.24632263183594
2017-01-18,111.99189758300781
2017-01-19,111.38831329345703
2017-01-20,111.90312957763672
2017-01-23,111.49485778808594
2017-01-24,111.99189758300781
2017-01-25,113.23461151123047
2017-01-26,113.24349212646484
2017-01-27,112.23159790039062
2017-01-30,111.45936584472656
2017-01-31,111.06877899169922
2017-02-01,110.33206176757812
2017-02-02,111.16645050048828
2017-02-03,111.17530822753906
2017-02-06,109.77285766601562
2017-02-07,109.5687026977539
2017-02-08,109.16927337646484
2017-02-09,108.76983642578125
2017-02-10,110.12788391113281
2017-02-13,111.07766723632812
2017-02-14,111.10429382324219
2017-02-15,111.3350830078125
2017-02-16,112.19605255126953
2017-02-17,113.92695617675781
2017-02-21,113.39436340332031
2017-02-22,112.72864532470703
2017-02-23,112.87066650390625
2017-02-24,113.69615173339844
2017-02-27,113.82933807373047
2017-02-28,113.99793243408203
2017-03-01,116.31466674804688
2017-03-02,114.9654769897461
2017-03-03,115.35601806640625
2017-03-06,113.92695617675781
2017-03-07,113.2878646850586
2017-03-08,112.4534912109375
2017-03-09,112.6043930053711
2017-03-10,113.59851837158203
2017-03-13,114.44176483154297
2017-03-14,114.52163696289062
2017-03-15,115.36492156982422
2017-03-16,114.77018737792969
2017-03-17,115.35601806640625
