Date,HAS
2010-09-29,27.668649673461914
2010-09-30,27.343063354492188
2010-10-01,27.40449333190918
2010-10-04,27.367637634277344
2010-10-05,28.129392623901367
2010-10-06,28.135522842407227
2010-10-07,27.883655548095703
2010-10-08,28.037235260009766
2010-10-11,28.203105926513672
2010-10-12,28.110958099365234
2010-10-13,28.332107543945312
2010-10-14,28.23996353149414
2010-10-15,27.693212509155273
2010-10-18,28.7559871673584
2010-10-19,28.38739776611328
2010-10-20,28.411962509155273
2010-10-21,28.061813354492188
2010-10-22,28.25838279724121
2010-10-25,28.233821868896484
2010-10-26,28.209253311157227
2010-10-27,28.209253311157227
2010-10-28,28.26483917236328
2010-10-29,28.56749153137207
2010-11-01,28.814565658569336
2010-11-02,29.228416442871094
2010-11-03,29.12340545654297
