Date,MUSA
2014-05-15,45.70618438720703
2014-05-16,46.952537536621094
2014-05-19,47.04018020629883
2014-05-20,47.42965316772461
2014-05-21,47.36149215698242
2014-05-22,48.208621978759766
2014-05-23,48.948646545410156
2014-05-27,48.78312301635742
2014-05-28,48.93891525268555
2014-05-29,49.454986572265625
2014-05-30,49.54262161254883
2014-06-02,50.23395538330078
2014-06-03,49.85421371459961
2014-06-04,49.873695373535156
2014-06-05,49.86394500732422
2014-06-06,50.9642448425293
2014-06-09,50.954505920410156
2014-06-10,50.7597770690918
2014-06-11,50.43843078613281
2014-06-12,49.26024627685547
2014-06-13,48.85129165649414
2014-06-16,48.6273193359375
2014-06-17,48.578636169433594
2014-06-18,48.66626739501953
2014-06-19,48.27679443359375
2014-06-20,48.21836853027344
2014-06-23,48.159942626953125
