Date,CLF
2010-09-29,53.835594177246094
2010-09-30,53.67604446411133
2010-10-01,55.90974807739258
2010-10-04,53.843994140625
2010-10-05,55.51506805419922
2010-10-06,56.17005920410156
2010-10-07,55.71660614013672
2010-10-08,58.09307861328125
2010-10-11,57.97551345825195
2010-10-12,57.36249923706055
2010-10-13,57.73198699951172
2010-10-14,57.27012634277344
2010-10-15,56.715904235839844
2010-10-18,55.56544876098633
2010-10-19,52.65155792236328
2010-10-20,54.55777359008789
2010-10-21,53.55848693847656
2010-10-22,54.2470703125
2010-10-25,54.88526916503906
2010-10-26,54.146305084228516
2010-10-27,53.49970245361328
2010-10-28,53.21418380737305
2010-10-29,54.75090789794922
2010-11-01,55.72501754760742
2010-11-02,56.52276611328125
2010-11-03,56.153282165527344
2010-11-04,58.781654357910156
