Date,ARMK
2014-09-10,17.105815887451172
2014-09-11,17.200878143310547
2014-09-12,17.20722007751465
2014-09-15,17.188209533691406
2014-09-16,17.06778907775879
2014-09-17,17.105815887451172
2014-09-18,17.13751220703125
2014-09-19,17.36566734313965
2014-09-22,17.3339786529541
2014-09-23,17.29595947265625
2014-09-24,16.991741180419922
2014-09-25,16.8586483001709
2014-09-26,16.972728729248047
2014-09-29,16.74456214904785
2014-09-30,16.668508529663086
2014-10-01,16.478376388549805
2014-10-02,16.44034767150879
2014-10-03,16.757232666015625
2014-10-06,17.010751724243164
2014-10-07,16.953712463378906
2014-10-08,16.807945251464844
2014-10-09,16.801599502563477
2014-10-10,16.7762508392334
2014-10-13,16.231199264526367
2014-10-14,16.376962661743164
2014-10-15,16.402318954467773
