Date,GNL
2015-11-19,9.019632339477539
2015-11-20,9.111258506774902
2015-11-23,9.12143611907959
2015-11-24,9.080717086791992
2015-11-25,8.958552360534668
2015-11-27,9.019632339477539
2015-11-30,9.019632339477539
2015-12-01,9.039992332458496
2015-12-02,8.958552360534668
2015-12-03,8.907651901245117
2015-12-04,9.029620170593262
2015-12-07,8.968123435974121
2015-12-08,8.968123435974121
2015-12-09,8.998869895935059
2015-12-10,9.050116539001465
2015-12-11,8.89637279510498
2015-12-14,8.86562728881836
2015-12-15,8.793885231018066
2015-12-16,8.916875839233398
2015-12-17,8.845130920410156
2015-12-18,8.89637279510498
2015-12-21,8.793885231018066
2015-12-22,8.588897705078125
2015-12-23,8.435159683227539
2015-12-24,8.281418800354004
2015-12-28,8.14818000793457
2015-12-29,8.066184997558594
2015-12-30,8.168678283691406
2015-12-31,8.14818000793457
2016-01-04,8.189177513122559
2016-01-05,8.12768268585205
2016-01-06,8.013060569763184
2016-01-07,7.713603496551514
2016-01-08,7.383169174194336
2016-01-11,7.269580841064453
2016-01-12,7.073384761810303
2016-01-13,6.680994510650635
2016-01-14,6.773930072784424
2016-01-15,7.135343074798584
2016-01-19,6.846211910247803
2016-01-20,6.8358845710754395
2016-01-21,6.9804511070251465
2016-01-22,7.186972141265869
2016-01-25,7.372842311859131
2016-01-26,7.651646614074707
2016-01-27,7.538061141967773
2016-01-28,7.434797763824463
2016-01-29,7.228277206420898
2016-02-01,7.538061141967773
2016-02-02,7.507081985473633
2016-02-03,7.610342025756836
2016-02-04,7.671756744384766
2016-02-05,7.6821675300598145
2016-02-08,7.432340621948242
2016-02-09,7.255382537841797
2016-02-10,7.536435127258301
2016-02-11,7.50520658493042
2016-02-12,7.494797706604004
2016-02-16,7.588481426239014
2016-02-17,7.650938987731934
2016-02-18,7.536435127258301
2016-02-19,7.963222026824951
2016-02-22,7.744626045227051
2016-02-23,7.942404270172119
2016-02-24,8.077725410461426
2016-02-25,8.150590896606445
