Date,SXC
2012-04-17,10.311166763305664
2012-04-18,10.110395431518555
2012-04-19,10.239462852478027
2012-04-20,10.253803253173828
2012-04-23,10.024345397949219
2012-04-24,10.275313377380371
2012-04-25,10.36136245727539
2012-04-26,10.612327575683594
2012-04-27,10.734228134155273
2012-04-30,10.913487434387207
2012-05-01,10.813102722167969
2012-05-02,10.805931091308594
2012-05-03,10.504769325256348
2012-05-04,10.182097434997559
2012-05-07,10.289655685424805
2012-05-08,10.504769325256348
2012-05-09,10.7557373046875
2012-05-10,10.662520408630371
2012-05-11,10.705546379089355
2012-05-14,10.519110679626465
2012-05-15,10.425895690917969
2012-05-16,10.626670837402344
2012-05-17,10.311166763305664
2012-05-18,10.303995132446289
2012-05-21,10.418724060058594
2012-05-22,10.153414726257324
