Date,SHBI
2010-09-29,7.0922112464904785
2010-09-30,7.114724636077881
2010-10-01,7.317359447479248
2010-10-04,7.279837608337402
2010-10-05,7.369894504547119
2010-10-06,7.317359447479248
2010-10-07,7.279837608337402
2010-10-08,7.294844150543213
2010-10-11,7.309856414794922
2010-10-12,7.354887962341309
2010-10-13,7.377399921417236
2010-10-14,7.332369804382324
2010-10-15,7.234804630279541
2010-10-18,7.159755706787109
2010-10-19,7.114724636077881
2010-10-20,7.077202796936035
2010-10-21,7.1072211265563965
2010-10-22,7.032171249389648
2010-10-25,7.0997161865234375
2010-10-26,7.017160892486572
2010-10-27,7.159755706787109
2010-10-28,7.1972808837890625
2010-10-29,7.144744873046875
2010-11-01,7.39991569519043
2010-11-02,7.332369804382324
2010-11-03,7.204782485961914
