Date,COST
2010-09-29,46.4276237487793
2010-09-30,46.298397064208984
2010-10-01,46.700435638427734
2010-10-04,46.34864807128906
2010-10-05,46.42045974731445
2010-10-06,46.9588737487793
2010-10-07,46.851192474365234
2010-10-08,46.15481185913086
2010-10-11,46.17634582519531
2010-10-12,45.47278594970703
2010-10-13,45.487159729003906
2010-10-14,45.35792922973633
2010-10-15,45.73125076293945
2010-10-18,45.37946319580078
2010-10-19,44.66155242919922
2010-10-20,44.94871139526367
2010-10-21,45.65944290161133
2010-10-22,45.96815872192383
2010-10-25,46.02558898925781
2010-10-26,45.716896057128906
2010-10-27,45.36037063598633
2010-10-28,45.23073196411133
2010-10-29,45.209110260009766
2010-11-01,45.57643508911133
2010-11-02,45.893348693847656
2010-11-03,45.4900016784668
2010-11-04,47.16096115112305
