Date,NU
2022-09-09,5.389999866485596
2022-09-12,5.510000228881836
2022-09-13,5.309999942779541
2022-09-14,5.420000076293945
2022-09-15,5.510000228881836
2022-09-16,5.28000020980835
2022-09-19,5.329999923706055
2022-09-20,5.21999979019165
2022-09-21,5.239999771118164
2022-09-22,4.980000019073486
2022-09-23,4.71999979019165
2022-09-26,4.510000228881836
2022-09-27,4.559999942779541
2022-09-28,4.809999942779541
2022-09-29,4.440000057220459
2022-09-30,4.400000095367432
2022-10-03,4.730000019073486
2022-10-04,4.920000076293945
2022-10-05,5.010000228881836
2022-10-06,4.690000057220459
2022-10-07,4.389999866485596
2022-10-10,4.289999961853027
2022-10-11,4.099999904632568
2022-10-12,4.110000133514404
2022-10-13,4.170000076293945
2022-10-14,4.119999885559082
2022-10-17,4.389999866485596
2022-10-18,4.400000095367432
2022-10-19,4.360000133514404
2022-10-20,4.380000114440918
2022-10-21,4.53000020980835
2022-10-24,4.300000190734863
2022-10-25,4.590000152587891
2022-10-26,4.389999866485596
2022-10-27,4.440000057220459
2022-10-28,4.590000152587891
2022-10-31,5.0
2022-11-01,5.090000152587891
2022-11-02,4.789999961853027
2022-11-03,4.929999828338623
2022-11-04,4.869999885559082
2022-11-07,4.809999942779541
2022-11-08,5.110000133514404
2022-11-09,4.690000057220459
2022-11-10,4.550000190734863
2022-11-11,4.440000057220459
2022-11-14,4.349999904632568
2022-11-15,4.909999847412109
2022-11-16,4.78000020980835
2022-11-17,4.380000114440918
2022-11-18,4.320000171661377
2022-11-21,4.309999942779541
2022-11-22,4.199999809265137
2022-11-23,4.440000057220459
2022-11-25,4.449999809265137
2022-11-28,4.21999979019165
2022-11-29,4.260000228881836
2022-11-30,4.449999809265137
2022-12-01,4.360000133514404
2022-12-02,4.460000038146973
2022-12-05,4.059999942779541
2022-12-06,4.059999942779541
2022-12-07,3.9700000286102295
2022-12-08,4.070000171661377
2022-12-09,3.930000066757202
2022-12-12,4.019999980926514
2022-12-13,3.880000114440918
2022-12-14,3.819999933242798
2022-12-15,3.740000009536743
2022-12-16,3.9000000953674316
2022-12-19,3.9100000858306885
2022-12-20,3.8299999237060547
2022-12-21,3.9100000858306885
2022-12-22,3.859999895095825
2022-12-23,3.890000104904175
2022-12-27,3.819999933242798
2022-12-28,3.9100000858306885
2022-12-29,4.059999942779541
2022-12-30,4.070000171661377
2023-01-03,3.559999942779541
2023-01-04,3.5199999809265137
2023-01-05,3.4800000190734863
2023-01-06,3.559999942779541
2023-01-09,3.6600000858306885
2023-01-10,3.6600000858306885
2023-01-11,3.7200000286102295
2023-01-12,3.6600000858306885
2023-01-13,3.680000066757202
2023-01-17,3.6700000762939453
2023-01-18,3.640000104904175
2023-01-19,3.619999885559082
2023-01-20,3.809999942779541
2023-01-23,3.9200000762939453
2023-01-24,4.03000020980835
2023-01-25,4.119999885559082
2023-01-26,4.230000019073486
2023-01-27,4.369999885559082
2023-01-30,4.400000095367432
2023-01-31,4.650000095367432
2023-02-01,4.769999980926514
2023-02-02,4.920000076293945
2023-02-03,4.900000095367432
2023-02-06,4.900000095367432
2023-02-07,4.909999847412109
2023-02-08,5.010000228881836
2023-02-09,4.829999923706055
2023-02-10,4.739999771118164
2023-02-13,4.869999885559082
2023-02-14,5.0
2023-02-15,5.239999771118164
2023-02-16,5.340000152587891
2023-02-17,4.989999771118164
2023-02-21,4.760000228881836
2023-02-22,4.829999923706055
2023-02-23,4.889999866485596
2023-02-24,4.940000057220459
2023-02-27,4.96999979019165
2023-02-28,5.039999961853027
2023-03-01,4.860000133514404
2023-03-02,4.670000076293945
2023-03-03,4.679999828338623
2023-03-06,4.949999809265137
2023-03-07,4.829999923706055
2023-03-08,4.989999771118164
2023-03-09,4.739999771118164
2023-03-10,4.489999771118164
