Date,ARHS
2022-08-01,5.421111583709717
2022-08-02,5.556397438049316
2022-08-03,5.778653144836426
2022-08-04,5.749663352966309
2022-08-05,5.807643413543701
2022-08-08,6.068552494049072
2022-08-09,5.682020664215088
2022-08-10,6.184512138366699
2022-08-11,7.662996768951416
2022-08-12,7.7403035163879395
2022-08-15,8.542357444763184
2022-08-16,8.94821548461914
2022-08-17,8.61966323852539
2022-08-18,9.199461936950684
2022-08-19,8.638989448547363
2022-08-22,8.648653030395508
2022-08-23,8.5713472366333
2022-08-24,8.638989448547363
2022-08-25,8.919225692749023
2022-08-26,8.407071113586426
2022-08-29,8.532693862915039
2022-08-30,8.503704071044922
2022-08-31,8.271784782409668
2022-09-01,8.117171287536621
2022-09-02,8.262121200561523
2022-09-06,8.61966323852539
2022-09-07,8.928889274597168
