Date,CNNE
2018-08-17,18.60675621032715
2018-08-20,18.2801513671875
2018-08-21,18.529909133911133
2018-08-22,18.78926658630371
2018-08-23,18.625967025756836
2018-08-24,18.894933700561523
2018-08-27,18.923755645751953
2018-08-28,18.70281219482422
2018-08-29,18.635574340820312
2018-08-30,18.70281219482422
2018-08-31,18.67399787902832
2018-09-04,18.731632232666016
2018-09-05,18.74123764038086
2018-09-06,18.82769203186035
2018-09-07,18.942962646484375
2018-09-10,19.067842483520508
2018-09-11,18.95256996154785
2018-09-12,19.067842483520508
2018-09-13,19.404050827026367
2018-09-14,20.057252883911133
2018-09-17,20.470312118530273
2018-09-18,20.873764038085938
2018-09-19,20.41267967224121
2018-09-20,20.23016357421875
2018-09-21,20.58558464050293
2018-09-24,20.49913215637207
