Date,CBSH
2010-09-29,17.64018440246582
2010-09-30,17.616750717163086
2010-10-01,17.64956283569336
2010-10-04,17.602685928344727
2010-10-05,18.0900936126709
2010-10-06,18.029165267944336
2010-10-07,17.95886993408203
2010-10-08,17.86982536315918
2010-10-11,17.71985626220703
2010-10-12,17.78546142578125
2010-10-13,17.70110321044922
2010-10-14,17.166847229003906
2010-10-15,17.05904197692871
2010-10-18,17.340240478515625
2010-10-19,17.185583114624023
2010-10-20,17.190271377563477
2010-10-21,17.13871955871582
2010-10-22,17.24650764465332
2010-10-25,17.05436134338379
2010-10-26,17.030935287475586
2010-10-27,17.119972229003906
2010-10-28,17.194955825805664
2010-10-29,17.265260696411133
2010-11-01,17.124664306640625
2010-11-02,17.199649810791016
2010-11-03,17.269939422607422
