Date,FDBC
2010-09-27,7.357767581939697
2010-09-28,7.357767581939697
2010-09-29,7.357767581939697
2010-09-30,7.357767581939697
2010-10-01,6.8538126945495605
2010-10-04,6.8538126945495605
2010-10-05,6.8538126945495605
2010-10-06,7.055395603179932
2010-10-07,7.055395603179932
2010-10-08,7.055395603179932
2010-10-11,7.256974220275879
2010-10-12,7.256974220275879
2010-10-13,6.877999305725098
2010-10-14,6.877999305725098
2010-10-15,6.8538126945495605
2010-10-18,6.8538126945495605
2010-10-19,6.8538126945495605
2010-10-20,6.8538126945495605
2010-10-21,6.8538126945495605
2010-10-22,6.8538126945495605
2010-10-25,7.055395603179932
2010-10-26,7.055395603179932
2010-10-27,7.055395603179932
2010-10-28,7.055395603179932
2010-10-29,7.055395603179932
2010-11-01,7.055395603179932
2010-11-02,7.055395603179932
