Date,DRH
2010-09-27,6.20390510559082
2010-09-28,6.223032474517822
2010-09-29,6.114639759063721
2010-09-30,6.05087947845459
2010-10-01,6.082759380340576
2010-10-04,6.223032474517822
2010-10-05,6.471701145172119
2010-10-06,6.554587364196777
2010-10-07,6.4653239250183105
2010-10-08,6.535459041595459
2010-10-11,6.580092906951904
2010-10-12,6.624724388122559
2010-10-13,6.854259967803955
2010-10-14,6.937154293060303
2010-10-15,6.8351335525512695
2010-10-18,6.988160610198975
2010-10-19,6.816006183624268
2010-10-20,6.962656021118164
2010-10-21,6.694862365722656
2010-10-22,6.726741790771484
2010-10-25,6.7713727951049805
2010-10-26,6.764998435974121
2010-10-27,6.796877384185791
2010-10-28,6.764998435974121
2010-10-29,6.7458696365356445
2010-11-01,6.7394938468933105
2010-11-02,6.694862365722656
