Date,CRUS
2010-10-01,17.40999984741211
2010-10-04,17.09000015258789
2010-10-05,17.1200008392334
2010-10-06,16.25
2010-10-07,15.920000076293945
2010-10-08,16.219999313354492
2010-10-11,16.540000915527344
2010-10-12,16.530000686645508
2010-10-13,16.43000030517578
2010-10-14,16.34000015258789
2010-10-15,16.09000015258789
2010-10-18,16.40999984741211
2010-10-19,16.059999465942383
2010-10-20,16.329999923706055
2010-10-21,13.770000457763672
2010-10-22,13.220000267028809
2010-10-25,12.800000190734863
2010-10-26,12.630000114440918
2010-10-27,13.0600004196167
2010-10-28,13.09000015258789
2010-10-29,12.859999656677246
2010-11-01,12.510000228881836
2010-11-02,12.819999694824219
2010-11-03,12.869999885559082
2010-11-04,12.960000038146973
2010-11-05,13.890000343322754
2010-11-08,13.640000343322754
2010-11-09,13.25
