Date,ILMN
2010-09-29,48.63813018798828
2010-09-30,47.859920501708984
2010-10-01,47.7529182434082
2010-10-04,48.414398193359375
2010-10-05,49.766536712646484
2010-10-06,49.396888732910156
2010-10-07,48.04474639892578
2010-10-08,47.79182815551758
2010-10-11,47.54863739013672
2010-10-12,48.40467071533203
2010-10-13,48.14202117919922
2010-10-14,47.217899322509766
2010-10-15,47.412452697753906
2010-10-18,48.15175247192383
2010-10-19,48.47276306152344
2010-10-20,49.416343688964844
2010-10-21,48.91050720214844
2010-10-22,49.51361846923828
2010-10-25,49.82490158081055
2010-10-26,50.24319076538086
2010-10-27,53.414398193359375
2010-10-28,53.03501892089844
2010-10-29,52.83073806762695
2010-11-01,52.645912170410156
2010-11-02,53.26848220825195
2010-11-03,54.36770248413086
